Display Order,Product Details,ASIN,Segment,URL,Marketplace,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
94,"La Roche Posay Repairing Cream for Body, Face and Lips, for Sensitive Skin, with Dexpanthenol and Tribioma, Reduces Tension and Redness, Cicaplast Baume B5+, 100 ml",B0BJFLVCZK,Cream,https://www.amazon.de/dp/B0BJFLVCZK?psc=1,DE,https://m.media-amazon.com/images/I/61lg2nKtAFL._SX342_.jpg,La Roche-Posay,16.79,"12,678","12,678",N/A,"194,848.81","194,734.38",164,18,AMZ,6.55,1,4.7,"4,164",6,300,Amazon,Beauty,Large Envelope,AMZ,13.40 x 3.80 x 5.70 cm,0.11,N/A,"Aug 17, 2022",,No,44,Amazon
4,"Roche Posay Effaclar Foaming Cleansing Gel, 400 Millilitres",B003JSEGNC,Check,https://www.amazon.de/dp/B003JSEGNC?psc=1,DE,https://m.media-amazon.com/images/I/71uT3swhjrL._SX342_.jpg,La Roche-Posay,13.91,"12,823","12,823","6,000","178,497.64","178,369.26",59,19,AMZ,5.51,1,4.6,"45,456",9,687,Amazon,Beauty,Small Parcel,AMZ,20.50 x 6.10 x 6.70 cm,0.46,N/A,"Mar 30, 2021",,No,61,Amazon
8,CERAVE Deep Pore Cleansing Gel 236 ml,B0B7RQ46LD,Check,https://www.amazon.de/dp/B0B7RQ46LD?psc=1,DE,https://m.media-amazon.com/images/I/51PLQTTTo7L._SX342_.jpg,CeraVe,10.95,"15,226","15,226","8,000","175,154.78","175,105.28",37,5,AMZ,4.29,1,4.5,"31,090",8,"1,123",Amazon,Beauty,Large Envelope,AMZ,17.10 x 3.50 x 7.00 cm,0.28,N/A,"Aug 1, 2022",,No,44,Amazon
24,"La Roche-Posay Lipikar Baume Light AP+M, Replenishing Lotion for Neurodermatitis and Dry Skin, Quick Absorption, No Fragrances, for Babies from 3 Months, Children and Adults, 400 ml",B09V542XVS,Cream,https://www.amazon.de/dp/B09V542XVS?psc=1,DE,https://m.media-amazon.com/images/I/41lmeQYcLrL._SX342_.jpg,La Roche-Posay,23.99,"2,973","2,973","1,000","79,072.94","79,050.38",181,"1,093",N/A,7.02,1,4.7,"1,871",10,48,,Beauty,Extra Large Envelope,MFN,20.10 x 5.60 x 5.70 cm,0.42,N/A,"Mar 9, 2022",,No,49,
18,"Cerave moisturising lotion, 236 ml",B07CG2TD9F,Cream,https://www.amazon.de/dp/B07CG2TD9F?psc=1,DE,https://m.media-amazon.com/images/I/61YDmQy6soL._SX342_.jpg,CeraVe,10.48,"7,543","7,543","4,000","79,052.75","78,977.16",34,49,AMZ,3.96,1,4.6,"44,258",8,391,Amazon,Beauty,Large Envelope,AMZ,15.80 x 3.80 x 7.00 cm,0.28,N/A,"Mar 16, 2018",,No,97,Amazon
11,"Mixa Cream for Dry and Cracked Skin, Moisturiser for the Body, Hands and Face, with Urea and Niacinamide, Urea Cica Repair + Skin Renewing Cream, 1 x 400 ml",B09V8JNGD4,Cream,https://www.amazon.de/dp/B09V8JNGD4?psc=1,DE,https://m.media-amazon.com/images/I/811R5oWSjsL._SY355_.jpg,Mixa,6.68,"8,097","8,097","3,000","69,627","69,553.44",156,41,AMZ,4.04,8,4.5,"7,323",12,185,Amazon,Beauty,Small Parcel,AMZ,9.10 x 8.70 x 9.00 cm,0.46,N/A,"Mar 20, 2022",,No,49,Amazon
93,Cerave - Moisturizer for dry to very dry skin - 177 ml,B07C5VMJPW,Cream,https://www.amazon.de/dp/B07C5VMJPW?psc=1,DE,https://m.media-amazon.com/images/I/71ea4mQlpTL._SX342_.jpg,CeraVe,10.3,"6,052","6,052","3,000","66,570.20","66,515.18",54,104,AMZ,3.04,1,4.5,"18,996",10,169,Amazon,Beauty,Extra Large Envelope,AMZ,16.40 x 4.80 x 5.00 cm,0.2,N/A,"Apr 13, 2018",,No,96,Amazon
7,"Anua Heartleaf Pore Cleansing Oil, Cleansing Oil Face, Pore Cleanser, Sebum Care, Suitable for All Skin Types, Gently Melting Texture, Makeup Remover, Korean Skincare (200 ml)",B0DL8Y8N4G,Wash,https://www.amazon.de/dp/B0DL8Y8N4G?psc=1,DE,https://m.media-amazon.com/images/I/61nHrsCJT1L._SY355_.jpg,ANUA,13.99,"3,903","3,903","1,000","64,241.97","64,241.87",175,265,PL,6.12,5,4.4,"1,162",10,128,LaRose Sp. z o.o.,Beauty,Extra Large Envelope,MFN,18.00 x 5.30 x 12.10 cm,0.27,N/A,"Oct 29, 2024",,No,18,LaRose Sp. z o.o.
42,"Sorion cream - also suitable for skin care in cases of psoriasis and eczema With coconut oil, Neem, Rubia Cordifolia, Turmeric and Wrightia tinctoria.",B074D5ZKX9,Cream,https://www.amazon.de/dp/B074D5ZKX9?psc=1,DE,https://m.media-amazon.com/images/I/81gpa6C36jL._AC_SY355_.jpg,Sorion,30.63,"3,918","1,781",N/A,"83,843.98","54,545.01",150,227,AMZ,8.01,5,4.3,"14,420",6,29,Amazon,,Extra Large Envelope,AMZ,21.50 x 4.70 x 4.70 cm,0.16,N/A,"Oct 15, 2017",,No,102,Amazon
147,"CETAPHIL Moisturising Cream, 453 g, For Dry, Sensitive Skin, Intensively Moisturises 48 Hours and Strengthens Resistance, With Vitamin B3, Sunflower Oil, Packaging May Vary",B003IO05U0,Cream,https://www.amazon.de/dp/B003IO05U0?psc=1,DE,https://m.media-amazon.com/images/I/71vgyRjmhkL._SX342_.jpg,Cetaphil,17.09,"2,506","2,506","1,000","52,843","52,825.45",172,336,BE,6.45,8,4.7,"1,801",10,12,Amazon,Beauty,Small Parcel,FBA,9.80 x 9.40 x 9.50 cm,0.52,N/A,"Apr 22, 2010",,No,192,Amazon
