Product Details,ASIN,URL,Image URL,Brand,Price  €,ASIN Revenue,BSR,Ratings,Review Count,Creation Date,Seller Age (mo)
"Protect Home Fastion Gel Cockroaches, Insecticide Gel Ready to Use, Poison Cockroaches, Effective Eliminates the entire colony in a short time, Action by ingestion. Indoor environments. 20 g",B088B5H3KH,https://www.amazon.it/dp/B088B5H3KH?psc=1,https://m.media-amazon.com/images/I/71x5vsuES2L._AC_SY355_.jpg,PROTECT HOME,15.45,"24,146.96",5,4.6,"2,594","May 8, 2020",70
"Pest Whisperer 2.0 – Ultrasonic Repellent for Professional Mice – Mice and Rat Repellent – Mouse Repellent – Anti Cockroaches, Ants – Combined Power 20 W – Non-Toxic – 2 Units",B0G7LQZ55Q,https://www.amazon.it/dp/B0G7LQZ55Q?psc=1,https://m.media-amazon.com/images/I/71GCJlmtkrL._AC_SY355_.jpg,WILD SOLUTION,29.99,"11,122.38",250,5,32,"Jan 26, 2026",2
"Baygon Extra Precision Straw Spray Effective Against Cockroaches and Ants, Continuous Protection for up to 4 Weeks - 3 x 400ml Bottles",B0BT21BJ28,https://www.amazon.it/dp/B0BT21BJ28?psc=1,https://m.media-amazon.com/images/I/71QbvEwrMoL._AC_SY355_.jpg,Baygon,19.99,"8,730.68",237,4.6,429,"Jan 25, 2023",38
"Insecticide 10.2 – Concentrated Insecticide Against Crawling and Flying Insects, Microencapsulation Technological Action, 100% Made in Italy – 1 Litre",B00JDKSQRM,https://www.amazon.it/dp/B00JDKSQRM?psc=1,https://m.media-amazon.com/images/I/51mApxwPseL._SX342_.jpg,V Vebi,47.9,"6,946.38",558,4.4,"1,428","Mar 31, 2014",144
"Protect Home Fastion Gel Cockroaches, Ready to Use Insecticide Gel, Poison Cockroaches, Effective Eliminates the entire colony in a short time, Action by ingestion. Indoors 5 g",B08P5J66SP,https://www.amazon.it/dp/B08P5J66SP?psc=1,https://m.media-amazon.com/images/I/71yR+WwQWRL._AC_SY355_.jpg,PROTECT HOME,11.12,"6,135.78",5,4.6,"2,594","Nov 26, 2020",64
"CIFO Nephorin - Insecticide Ants Cockroaches Spiders Wasps and Other Insects, Triple Sniding, Residual and Residual Action, Ideal for Disinfesting Domestic and Civil Environments, Made in Italy, 500",B00IEE3ICG,https://www.amazon.it/dp/B00IEE3ICG?psc=1,https://m.media-amazon.com/images/I/61LUlj9G4iL._AC_SY355_.jpg,CIFO,13.55,"6,111.12",267,4.6,"2,061","Feb 12, 2014",145
Cipex 10E Adult Insecticide Liquid Based Cypermethrin 1 Litre Flying Insects and Crawling Mosquitoes,B010V72NGU,https://www.amazon.it/dp/B010V72NGU?psc=1,https://m.media-amazon.com/images/I/718RBWVE6dL._SY445_.jpg,ARIKON,22.9,"5,989.68",529,4.3,"1,964","Jul 3, 2015",128
"Copyr Cipertrin 10 Plus – Anti-Mosquitoes, Ants, Cockroaches and Other Crawling Insecticide, 1L x 1 Piece – Odourless Emulsifiable Concentrate with Cypermethrin, Residual Effect (1 Litre)",B00KVI7VT4,https://www.amazon.it/dp/B00KVI7VT4?psc=1,https://m.media-amazon.com/images/I/61aVRM+n73L._AC_SY355_.jpg,COPYR,19.99,"5,959.09",512,4.3,"1,567","Jun 9, 2014",141
"Zig Zag Insect Killer Habitat Multinket Odour Free Ideal for Bedbugs, Flies, Mosquitoes, Cockroaches, Ants, Ticks, Slow Release Product, 500 ml, White, ‎6.3 x 2.7 x 2.7 in; 10 g",B008CFT81M,https://www.amazon.it/dp/B008CFT81M?psc=1,https://m.media-amazon.com/images/I/51XtcWVDuXL._AC_SY355_.jpg,ZIG - ZAG,4.9,"5,414.65",36,4.3,"2,161","Jun 18, 2012",165
Deadyna 5 Litre Pyrethroid Liquid Insecticide with Cypermethrin and Tetrameter Disinfection Insects Mosquitoes Flies and Crawling Insects,B07T9G1PY3,https://www.amazon.it/dp/B07T9G1PY3?psc=1,https://m.media-amazon.com/images/I/41LW2n8AUcL._SX342_.jpg,BLEULINE,80,"4,929.90","1,528",4.3,69,"Jun 19, 2019",81
