Product Details,ASIN,URL,Image URL,Brand,Price  £,ASIN Revenue,BSR,Ratings,Review Count,Creation Date,Seller Age (mo)
Insectokil Smoke Bombs (Pack of 4) Mini Smoke Bomb Foggers For Effective Control Of All Flying And Crawling Insects,B08W5FH16R,https://www.amazon.co.uk/dp/B08W5FH16R?psc=1,https://m.media-amazon.com/images/I/912U5Kz+Q-L._SX342_.jpg,Ratkil,23.11,"32,198.98",463,3.9,"7,171","Feb 8, 2021",61
"Raid Ant & Cockroach Killer, Insect Killer For Indoor Use, Long Lasting Protection for the Home, Pack of 6 (6 x 300ml)",B007XR7AHO,https://www.amazon.co.uk/dp/B007XR7AHO?psc=1,"https://m.media-amazon.com/images/I/815a+lbkIEL._AC_SY355_PIbundle-6,TopRight,0,0_SH20_.jpg",Raid,27.61,"13,300.16","3,788",4.7,728,"Apr 16, 2012",167
"Bed Bug Glue Traps – 12 Pack | Sticky Pest Control Trap and Bed Bug Killer | Adhesive Crawling Insect Interceptors, Trap, Monitor, and Detector for Treatment of Bed Bugs and Other Indoor Pests",B096T6KRM1,https://www.amazon.co.uk/dp/B096T6KRM1?psc=1,https://m.media-amazon.com/images/I/8162Z7kt7TL._AC_SY355_.jpg,ECOPEST,15.6,"9,760.43","1,498",4,"1,898","Dec 28, 2022",39
"Quebec Ant Killer Powder 500g – Powerful Crawling Insect Killer Dust – Kills Ants, Cockroaches, Woodlice & Earwigs – Indoor & Outdoor Pest Control",B0BW9PGK6G,https://www.amazon.co.uk/dp/B0BW9PGK6G?psc=1,https://m.media-amazon.com/images/I/61KLRmFVefL._AC_SY355_.jpg,Quebec,10.39,"9,359.72",517,4.4,671,"Mar 9, 2023",36
"Zero In Ultra Power Household Pest Killer Spray 600ml – Kills Fleas, Bed Bugs, Clothes Moths & Crawling Insects on Contact – Long-Lasting Professional Strength Insecticide for Home Use",B077G22YYQ,https://www.amazon.co.uk/dp/B077G22YYQ?psc=1,https://m.media-amazon.com/images/I/51ZqpkjzygL._AC_SY355_.jpg,Zero In,11.53,"8,363.93","1,531",4.3,"1,029","Nov 14, 2017",100
"2 x Dethlac Spray | Ant Killer Indoor & Outdoor 250ml Aerosol | Insect Killer Indoor & Outdoor Use – Insecticide Bug Spray Lacquer - Effective for Ants, Cockroach, Woodlice & Other Crawling Insects",B08XMH66MZ,https://www.amazon.co.uk/dp/B08XMH66MZ?psc=1,https://m.media-amazon.com/images/I/81PMrwiJAdL._AC_SY355_.jpg,Dethlac,14.5,"7,668.42",470,4.4,"6,069","Feb 26, 2021",61
"Zero In® Silverfish & Crawling Insect Killer - 500ml, Instant, Long Lasting, Non-Staining, Odourless Silverfish and Crawling Insect Treatment and Repellent for the Home",B0DGTL42L7,https://www.amazon.co.uk/dp/B0DGTL42L7?psc=1,https://m.media-amazon.com/images/I/51Xmez4N3LL._SX342_.jpg,Zero In,5.77,"6,017.90","1,758",4.2,143,"Sep 12, 2024",18
"Diatomaceous Earth Powder Bucket Duster Pest Control Natural Insecticide Powder Bed Bug Killer, Mites Flea & Tick, Ant Killer, Crawling Insect Solution Non-Toxic DE Feed Grade (5kg)",B0F2JG15DW,https://www.amazon.co.uk/dp/B0F2JG15DW?psc=1,https://m.media-amazon.com/images/I/81iIeMVsnHL._SX342_.jpg,Pure Source Nutrition,19.64,"5,977.08",647,4.3,263,"Mar 25, 2025",12
300ml Ant & Cockroach Intant Killer Spray (2) (2),B087H5BN7Z,https://www.amazon.co.uk/dp/B087H5BN7Z?psc=1,https://m.media-amazon.com/images/I/61QUXv68AfL._SX342_.jpg,Raid,10.52,"5,368.99","1,380",4.5,740,"Apr 22, 2020",71
"1Kg Diatomaceous Earth Powder - Ant killer, flea killer, insect killer, bed bug killer, silverfish killer, Pests Control for Crawling Insects, Pest Organic Non-Toxic",B078PQ8LDC,https://www.amazon.co.uk/dp/B078PQ8LDC?psc=1,https://m.media-amazon.com/images/I/81Bv5kLZJYL._AC_SY355_.jpg,Entopest,16.17,"5,002.76","3,191",4.4,"1,055","Dec 29, 2017",99
"NOPE! Flea Smoke Bomb for The Home (14g) | 6x8m Coverage | Non-Staining | for All Flying & Crawling Insects | for Bedrooms, Living Rooms, Garages",B0DQ5YX7H2,https://www.amazon.co.uk/dp/B0DQ5YX7H2?psc=1,https://m.media-amazon.com/images/I/71SqjH6tNgL._SX342_.jpg,NOPE!,10.17,"4,766.61","2,052",4.1,226,"Dec 11, 2024",15
"Raid Ant and Cockroach Killer Powder, Insect Killer For Indoor And Outdoor Use, Stops Reinfestation, 250g",B00AUV6OPO,https://www.amazon.co.uk/dp/B00AUV6OPO?psc=1,https://m.media-amazon.com/images/I/61fgAslKz0L._AC_SY355_.jpg,Raid,4.05,"4,582.02","5,455",4.4,"2,189","Feb 12, 2013",157
"Ultrasonic Pest Repeller 2 Pack, Insect Control, Spider Repellent, Plug in Indoor Mouse Deterrent, Anti Moths, Ants, Bed Bugs, Fleas, Cockroaches, Flies, Spider, Wasp (Classic 2 Pack)",B0B8VQ6C76,https://www.amazon.co.uk/dp/B0B8VQ6C76?psc=1,https://m.media-amazon.com/images/I/51Pv6xc1glL._AC_SY355_.jpg,EcoMyLife,16.17,"4,183.35","4,120",3.8,711,"Aug 23, 2022",43
"Insect Killer Spray - Professional Strength Flying & Crawling Insect Treatment For The Home, Effectively Targets Flies, Ants, Spiders, Woodlice, Silverfish, Ticks, Wasps & Dust Mites, Large 1L",B0D35CMTPQ,https://www.amazon.co.uk/dp/B0D35CMTPQ?psc=1,https://m.media-amazon.com/images/I/611f2rFPPNL._AC_SY355_.jpg,REPELEM,18.51,"3,975.28","6,207",4.3,106,"May 2, 2024",22
"Terro T360 Ant and Roach Bait Stations, 1 Pack",B075D6WXTN,https://www.amazon.co.uk/dp/B075D6WXTN?psc=1,https://m.media-amazon.com/images/I/914PpciN3eL._SY342_.jpg,Terro,23.1,"3,923.24","2,814",4.3,"1,589","Sep 5, 2017",102
"Raid Total Insect Killer Pack, Protect Against Flying and Crawling Insects, Fast and Long Lasting Action, Pack of 3",B0C2VV35DX,https://www.amazon.co.uk/dp/B0C2VV35DX?psc=1,https://m.media-amazon.com/images/I/81znvb1hegL._AC_SY355_.jpg,Raid,13.29,"3,846.28",369,4.6,"6,690","Apr 18, 2023",35
"Insect Killer Spray 1L - Bed Bug, Flea, Moth, Fly, Spider, Ant Bug Spray Killer for Indoor Use, Fast-Acting, Long-Lasting Protection, Suitable for All Insects, Effective Cockroach Treatment",B0C5TCTMRP,https://www.amazon.co.uk/dp/B0C5TCTMRP?psc=1,https://m.media-amazon.com/images/I/71BhENsQiXL._AC_SY355_.jpg,READY STEADY DEFEND,17.33,"3,598.23","2,178",4.2,499,"May 20, 2023",34
"SWISSINNO Adhesive Grease Band for Trees – 5 m x 5 cm Tree Barrier Tape Against Crawling Insects, Caterpillars and Ants – Easy to Use Garden Protection - 1 Tape Roll",B075Y2N7WX,https://www.amazon.co.uk/dp/B075Y2N7WX?psc=1,https://m.media-amazon.com/images/I/71yOzXe-0iL._AC_SY355_.jpg,SWISSINNO,7.62,"3,461.62","1,631",4.2,"1,185","Aug 2, 2019",79
CritterKill Spider Trap 30 Pack - Spiders And Crawling Insect Killer Traps - Child And Pet Safe - Eco Friendly,B0176LV8Z6,https://www.amazon.co.uk/dp/B0176LV8Z6?psc=1,https://m.media-amazon.com/images/I/713LGOd8WSL._AC_SX355_.jpg,CritterKill,18.44,"3,242","4,390",3.9,"1,677","Jun 7, 2016",117
"Foldable Spider Catcher Long Handled 83 cm, Remove Spiders Insects, Bugs, Wasps, Pest Trap Bug Catch Crawling Insect Trap, Stay at Arm’s Length, Spider Grabber",B0CTQVCCXC,https://www.amazon.co.uk/dp/B0CTQVCCXC?psc=1,https://m.media-amazon.com/images/I/41I3OOC7BpL._AC_SY355_.jpg,Shabeli,11.55,"3,066.44","6,716",4.1,118,"Mar 19, 2024",24
"Insect Killer Traps: Versatile, Pre-Baited - 30-Pack Crawling Pests - Efficient Pest Control for Spiders, Bed Bugs, Woodlice & More",B0CVH8HWQ5,https://www.amazon.co.uk/dp/B0CVH8HWQ5?psc=1,https://m.media-amazon.com/images/I/71nTZDJUMEL._AC_SY355_.jpg,READY STEADY DEFEND,16.17,"2,681.19","5,126",4,115,"Mar 5, 2024",24
"1 x Dethlac Spray | Ant Killer Indoor & Outdoor 250ml Aerosol | Insect Killer Indoor & Outdoor Use – Insecticide Bug Spray Lacquer - Effective for Ants, Cockroach, Woodlice, & Other Crawling Insects",B000TAQU4Q,https://www.amazon.co.uk/dp/B000TAQU4Q?psc=1,https://m.media-amazon.com/images/I/71M5HtKp4ZL._AC_SY355_.jpg,Dethlac,9.3,"2,636.64",470,4.4,"6,069","Jul 9, 2007",224
"Zero In Total Indoor Insect Killer – Knockdown Action for Indoor Flying & Crawling Insects – Low Odour, Stain-Free Bug Spray - Suitable for Home Use - 300ml X3 Pack",B0CRVVD71H,https://www.amazon.co.uk/dp/B0CRVVD71H?psc=1,https://m.media-amazon.com/images/I/71k+zqdrA7L._AC_SY355_.jpg,Zero In,5.77,"2,598.30",881,4,"9,289","Jan 9, 2024",26
"Quebec Ant Killer Powder 500g – Powerful Crawling Insect Killer Dust – Kills Ants, Cockroaches, Woodlice & Earwigs – Indoor & Outdoor Pest Control (Pack of 2)",B0D3J76N99,https://www.amazon.co.uk/dp/B0D3J76N99?psc=1,https://m.media-amazon.com/images/I/71czNhSy6fL._AC_SY355_.jpg,Quebec,16.17,"2,509.39",517,4.4,671,"Apr 25, 2023",35
"Nippon Woodlice Killer Powder - crawling insects - woodlice, wasps, cockroaches, beetles, earwigs, silverfish and other crawling insects Indoor & Outdoor 150g (Pack of 1)",B0DW1XBH6P,https://www.amazon.co.uk/dp/B0DW1XBH6P?psc=1,https://m.media-amazon.com/images/I/518CHHja79L._SY445_.jpg,SK INFINITY,7.52,"2,399.97","4,048",4.1,42,"Feb 4, 2025",13
Rentokil 3 x Insectrol Insect Killer 250ml Aerosol,B08J3NYLFD,https://www.amazon.co.uk/dp/B08J3NYLFD?psc=1,https://m.media-amazon.com/images/I/61lj1Nk6V0S._SY445_.jpg,Rentokil,16.71,"2,195.03","7,570",4.6,201,"May 27, 2015",130
"3 x Dethlac Spray | Ant Killer Indoor & Outdoor 250ml Aerosol | Insect Killer Indoor & Outdoor Use – Insecticide Bug Spray Lacquer - Effective for Ants, Cockroach, Woodlice & Other Crawling Insects",B008XZXHMM,https://www.amazon.co.uk/dp/B008XZXHMM?psc=1,https://m.media-amazon.com/images/I/81ES+R4FcpL._AC_SY355_.jpg,Dethlac,20.38,"2,055.16",470,4.4,"6,069","Feb 1, 2013",157
