marketplace,asin,title,date,rating,review
IT,B07NWWFLL8,Non funzionano...,Reviewed in Italy on 21 June 2026,1,"Non sono buone, cioè loro funzionano, attirando lo scarafaggio, ma lui almeno se di grande dimensione, riesce ad andarsene senza rimanere incollato.Quindi risultato e che non fanno il loro lavoro, sconsigliate al massimo.Si trova di meglio!!"
IT,B07NWWFLL8,Non funzionano,Reviewed in Italy on 21 June 2026,1,"Ho buttato via i soldi perché non sono servite a niente. Le blatte di notte facevano feste ma, non una é entrata nelle trappole."
IT,B07NWWFLL8,Non funziona,Reviewed in Italy on 12 June 2026,1,"Purtroppo, non serve. Le blatte rosse che infestano la mia cucina passano vicino alle trappole, ma non ci entrano. Peccato."
IT,B07NWWFLL8,Inutili!!,Reviewed in Italy on 26 June 2026,1,Non funzionano!! né ho prese di altre marche ma efficaci!! Non le consiglio!!
IT,B07NWWFLL8,Initile,Reviewed in Italy on 5 July 2026,1,Pessimo non ne acchiappa una!
IT,B07NWWFLL8,Evitate,Reviewed in Italy on 25 June 2026,1,"Prodotto scadente, non funziona con le blatte"
IT,B07NWWFLL8,"LE BLATTE GLI FANNO CIAO, CIAO",Reviewed in Italy on 25 June 2026,1,"non serve a niente, soldi buttati"
IT,B07NWWFLL8,Non servono a niente,Reviewed in Italy on 12 June 2026,1,Non servono a niente
IT,B07NWWFLL8,Per me non funziona,Reviewed in Italy on 16 April 2026,1,"In una settimana non ha attirato nulla. Ho visto ogni sera piccoli scarafaggi sulle scale di casa, anche vicini alla trappola, ma non sono mai entrati. Non funziona per me…"
IT,B07NWWFLL8,not a single capture,Reviewed in Italy on 24 March 2026,1,"i put 5 of these in my house, not a single scarafaggio has entered, they're still around and the traps are empy after a whole month... only thing that worked for me was RAID"
IT,B07NWWFLL8,Inutile,Reviewed in Italy on 19 February 2026,1,Inutile
IT,B07NWWFLL8,Non funzionano,Reviewed in Italy on 29 August 2025,1,Scrivo questa recensione dopo un mese di utilizzo circa e devo dire che solo una blatta è cascata nella trappola. Nel mio caso non ha funzionato e sono dovuta passare al gel.
IT,B07NWWFLL8,Non efficace,Reviewed in Italy on 7 August 2025,1,"Ho seguito le istruzioni riportate dal venditore,sarò stata sfortunata ma non ho trovato neanche uno scarafaggio nelle trappole che erano correttamente posizionate dove li avevo visti vivi. Personalmente proverò prodotti più efficaci"
IT,B07NWWFLL8,Inutile,Reviewed in Italy on 15 June 2025,1,"Ho acquistato questo prodotto sperando di risolvere il problema delle blatte in casa, ma purtroppo non ha funzionato come speravo. L’ho posizionato da diversi giorni, ma le blatte ci passano vicino senza neanche avvicinarsi. Sembra non attirarle affatto. Forse funziona in altre situazioni, ma nel mio caso non ha dato risultati."
IT,B07NWWFLL8,Nessun risultato,Reviewed in Italy on 3 October 2025,1,Messe ma senza risultatu
IT,B07NWWFLL8,Inutili,Reviewed in Italy on 22 June 2025,1,Quasi inutili .. su 12 trappole una sola ha attirato uno scarafaggio all'interno e tutto intorno alle altre gli scarafaggi pascolavano felici e contenti .. !
IT,B07NWWFLL8,Deludenti ed inefficaci,Reviewed in Italy on 29 July 2025,1,Nessuna efficacia. Gli insetti giravano indisturbati ma trappole vuote
IT,B07NWWFLL8,Funziona poco,Reviewed in Italy on 20 July 2025,1,Sono fatti di cartoncino
IT,B07NWWFLL8,inutile,Reviewed in Italy on 22 July 2025,1,rudimentale . inutile.
IT,B07NWWFLL8,Scadente,Reviewed in Italy on 2 June 2025,1,Soldi buttati via
IT,B07NWWFLL8,Non utile,Reviewed in Italy on 5 February 2025,1,Non ha catturato nulla
IT,B07NWWFLL8,Utilizzato per una settimana di seguito! Inefficace!,Reviewed in Italy on 19 October 2024,1,Come da titolo le blatte hanno girato attorno all'ostacolo e non ci sono mai passate sopra.. Lo sconsiglio
IT,B07NWWFLL8,Inutile,Reviewed in Italy on 2 February 2025,1,Non serve a nulla
IT,B07NWWFLL8,Las cucarachas no pican el anzuelo,Reviewed in Spain on 26 June 2026,1,"La trampa consiste en una pequeña caja de carton y en el centro una pildora para la cucaracha. Pues bien, las cucarachas pasan por al lado de la pildora y siguen su camino sin inmutarse. No vale de nada."
IT,B07NWWFLL8,Inutile ne fonctionne pas du tout,Reviewed in France on 13 April 2026,1,"Achèter et installer depuis le 7 février , nous sommes le 13 avril. J’avais plus aucune blattes, 12 pièges positionner dans la cuisine dont 2 pièges au niveau de la prise (là où était le nid) et bah les voilà revenu , sur la prise et 0 dans les pièges ! Pas une seule prise ! Inutile vraiment"
IT,B07NWWFLL8,Useless,Reviewed in Germany on 16 June 2026,1,UselessDidn’t catch any
IT,B07NWWFLL8,Efficacité,Reviewed in France on 24 June 2026,1,"Ça n’attire pas du tout les cafards, il faut les suivre et anticiper la colle dans leur chemin (je n’ai pas que ça à faire dans ma vie)"
IT,B07NWWFLL8,Nützliche Kleintiere verfangen sich in der Klebstofffalle ...,Reviewed in Germany on 11 August 2025,1,"Die Schabenfalle funktioniert zwar bei Kakalaken - aber leider zieht sie auch nützliche Kleintiere wie den Gecko an, der sich dann hilflos in den Klebstoff verfängt. Ich habe es selbst erlebt und musste den Gecko aufwendig von der mit Klebstoff benetzten Pappe befreien. Daher BITTE AUF KEINEN Fall in südeuropäischen Ländern mit nützlichen Kleintieren einsetzen!An den Hersteller die Bitte das Produkt zu verändern oder einen sichtbaren Hinweis in der Anleitung abzudrucken! Save the Gecko!"
IT,B07NWWFLL8,Leider keine Ergebnisse,Reviewed in Germany on 6 January 2026,1,Die leider wirken nicht
