[2*][Terro] ATTRACTED THE FRUIT FLIES, BUT THEY DIDN’T GO INSIDE || The fruit flies just sat on the Apple and never went inside.
[2*][Terro] Not Very Effective || Frankly unimpressed. Before getting these, I used a bowl with a TBS of sugar, half a cup of warm water and a few tablespoons of apple cider vinegar with a few drops of Dawn. I also have three Zevo insect traps (basically very sticky plastic inside a plug in that has a warm blue light). The bowl traps were far more effective at getting a dozen of the buggers trapped (fruit fly invasion, and I do mean invasion). The "bait" in these apple traps obviously contains apple cider vinegar. But the flys w...
[2*][Terro] Flies don’t go in?! || It does a really good job of attracting the flies on top of it, but non of them go in and get trapped…they just sit on the top but don’t go down into the holes. So far I’ve caught 1 fly with 3 active traps.
[2*][Terro] Not very effective || I put these by a sink that always has fruit flies around it. They just fly all around the trap but don’t go in it. In weeks I’ve only gotten 1 fruit fly in a trap. The apple shape is cuter than fly tape though.
[2*][Terro] Less effective than apple cider || Easily outdone by a bowl of apple cider and a bit of plastic wrap. Easy to use but not very effective and I not happy about tossing plastic into the trash. I'd rather throw the bugs into the trash and reuse the plastic
[2*][Terro] apple shaped traps fall over way too easy || These apple shaped traps fall over way too easy spilling the bait on counters or tables attracting MORE flies. Need a more stable base.
[2*][Terro] Product does not last as long as they said it would. || I would not purchase this product again. It was not very effective. It drew fruit flies to the little red apples but the liquid you put in them dried up very quickly. Did not last as long as it said it would. Could not return them for a refund as I did not keep the box they came in. I believed the product was going to work. It took time to realize the product would not work as long as they said it would.
[2*][Terro] Not working for me || Flys gather around the top surface and as a matter a fact i see more flies around the house since i started to use these.
[2*][Terro] Worthless || pretty much worthless, even in a small room
[1*][Terro] Not necessary || Don’t get these literally just buy apple cider vinegar and put them in small cups. Works the same
[1*][Terro] Does not work _ do not waste your money! || Would Rate a zero if I could. Do not waste money on this product. Does not work. Did not catch a single gnat I installed zevo plug in insect traps instead and very quickly have captured thousands ofgnats around around my home. Apparently this Terro product is not returnable or refundable.
[1*][Terro] Not worth it! || Unfortunately, they did nothing. Fruit flies avoided it like the plague!!!
