"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
3.,"Balneum Medicinal Bath Oil - Nourishing SOYA Oil Emollient for Healthy Skin - Moisturises, Hydrates and Protects - Suitable for Dry Skin Conditions - for Men and Women - 500ml","B001PML7RW","https://www.amazon.co.uk/dp/B001PML7RW?psc=1","https://m.media-amazon.com/images/I/81uuinKoI4L._AC_SY355_.jpg","Balneum",8.32,157,157,100,"1,568.28","1,568.27",175,"16,658","GB",3.89,15,4.6,419,4,0,"Direct Care Ltd","Beauty","Small Parcel","MFN","19.50 x 6.90 x 7.30 cm",0.54,"N/A","Jun 8, 2009",,"No",205,"Direct Care Ltd"
8.,"E45 Bath Oil 500 ml – E45 Bath Oil Emollient to Moisturise & Hydrate Dry Skin – Gently Cleanses for Soft Skin – Soap Free & Perfume Free Emollient Bath & Shower Oil Body Wash - Dermatologically Tested","B002J9DEZ8","https://www.amazon.co.uk/dp/B002J9DEZ8?psc=1","https://m.media-amazon.com/images/I/51AbQLUDHoL._AC_SY355_.jpg","E45",6.11,"2,706","2,629","1,000","26,389.78","23,739.68",200,"1,380","AMZ",3.28,16,4.7,"2,131",6,93,"Amazon","Beauty","Extra Large Envelope","AMZ","19.80 x 4.40 x 9.00 cm",0.47,"N/A","Jan 14, 2009",,"No",210,"Amazon"
9.,"Skin So Soft Original Bath Oil, Original Skin Bath Oil, Softens Soft Skin Bath Oils for Women, Skin Moisturizing Smoothing & Softens Dry or Rough Skins - 3.4 fl.oz(1 Pcs)","B0CH9K8F45","https://www.amazon.co.uk/dp/B0CH9K8F45?psc=1","https://m.media-amazon.com/images/I/71ECnNczIcL._AC_SX355_.jpg","Pelinuar",5.26,1,1,"N/A",7.84,4.49,170,"257,218","CN","N/A",1,5,2,6,0,"chengduluoyushuangwangluokejiyouxiangong si","Beauty","N/A","MFN","N/A","N/A","N/A","Sep 5, 2023",,"No",34,"chengduluoyushuangwangluokejiyouxiangong si"
19.,"FENJAL Classic Luxury Creme Bath Oil - 200ml, Cleanses and Nourishes Your Skin","B000KU54CY","https://www.amazon.co.uk/dp/B000KU54CY?psc=1","https://m.media-amazon.com/images/I/61yHbF0f5DL._AC_SY355_.jpg","Fenjal",8.32,939,421,200,"8,897.39","3,849.61",78,"6,275","GB",3.2,12,4.8,"2,247",1,13,"Haul House","Beauty","Large Envelope","FBA","20.90 x 3.70 x 8.50 cm",0.48,"N/A","Nov 20, 2006",,"No",236,"Haul House"
20.,"Neal's Yard Remedies Soothing Bath Oil, Relax Body & Mind, Soothing Therapeutic Oils, Vegan & Cruelty-Free, 100ml","B081ZCS6DV","https://www.amazon.co.uk/dp/B081ZCS6DV?psc=1","https://m.media-amazon.com/images/I/51vm5y55UpL._AC_SY355_.jpg","Neal's Yard Remedies",12.67,195,195,100,"3,961.01","3,961",113,"27,477","AMZ",6.4,1,4.6,443,5,2,"Amazon","Beauty","Extra Large Envelope","AMZ","16.40 x 5.50 x 6.20 cm",0.23,"N/A","Sep 3, 2012",,"No",166,"Amazon"
21.,"Balneum Plus Bath Additive - Bath Oil with Lauromacrogols & SOYA Oil for Intensive Hydration, Softening & Soothing of Itchy & Dry Skin, Relaxing Bath Soak for Women & Men, 500ml (Packing May Vary)","B006EHZSDM","https://www.amazon.co.uk/dp/B006EHZSDM?psc=1","https://m.media-amazon.com/images/I/718uKXkyn1L._AC_SY355_.jpg","Balneum",6.09,210,210,100,"1,684.86","1,684.84",196,"18,936","GB",3.09,21,4.6,241,7,3,"DerixOnline","Beauty","Small Parcel","MFN","19.60 x 7.00 x 7.20 cm",0.54,"N/A","May 12, 2008",,"No",218,"DerixOnline"
26.,"Bioderma Atoderm Shower Oil - Nourishing & Cleansing Body Wash, Hydrate, Soothe & Protect Dry & Sensitive Skin - with Glycerin & Niacinamides, 200ML","B0F9QYB8XT","https://www.amazon.co.uk/dp/B0F9QYB8XT?psc=1","https://m.media-amazon.com/images/I/61YvCZf16OL._AC_SY355_.jpg","Bioderma",11.38,243,243,200,"3,331.81","3,331.82",148,"12,877","GB",5.78,4,4.8,11,9,1,"BIODERMA UK","Beauty","Extra Large Envelope","FBA","16.80 x 4.90 x 5.10 cm",0.24,"N/A","May 21, 2025",,"No",14,"BIODERMA UK"
27.,"ESPA Bath and Body Oil 100ml with Pure Aromatherapy Essential Oils, Magnesium & Ashwagandha | Supports Skin's Natural Moisture Barrier | Luxury Spa Massage Oil","B0CRBFTMF9","https://www.amazon.co.uk/dp/B0CRBFTMF9?psc=1","https://m.media-amazon.com/images/I/61XPFqITHzL._AC_SX342_.jpg","ESPA",24,209,8,"N/A","5,650.19",219.41,159,"18,063","AMZ",8.05,1,4.6,67,7,0,"Amazon","Beauty","Extra Large Envelope","AMZ","15.20 x 4.30 x 4.80 cm",0.29,"N/A","Jan 2, 2024",,"No",30,"Amazon"
28.,"E45 Bath Oil 500 ml – E45 Bath Oil Emollient to Moisturise & Hydrate Dry Skin – Gently Cleanses for Soft Skin – Soap Free & Perfume Free Emollient Bath & Shower Oil Body Wash - Dermatologically Tested","B0D1RB1WGQ","https://www.amazon.co.uk/dp/B0D1RB1WGQ?psc=1","https://m.media-amazon.com/images/I/61wp2MOKNaL._AC_SX355_PIbundle-2,TopRight,0,0_SH20_.jpg","E45",14.66,0,0,"N/A",0,0,200,"34,964","AMZ","N/A",1,4.9,22,7,0,"Amazon","Beauty","Extra Large Envelope","AMZ","19.80 x 4.40 x 9.00 cm",0.94,"N/A","Dec 8, 2025",,"No",7,"Amazon"
29.,"fenjal Cream Oil Bath XL - 500 ml, Vegan Care Bath with 82% Natural Oil, Fragrance, Normal to Very Dry Skin - Classic","B0B6JDJP51","https://www.amazon.co.uk/dp/B0B6JDJP51?psc=1","https://m.media-amazon.com/images/I/41FiknFiN8L._AC_SY355_.jpg","Fenjal",20.82,12,12,"N/A",300.84,300.85,117,"105,968","GB",6.85,1,4.7,67,3,2,"LWB Retail","Beauty","Small Parcel","FBA","28.00 x 5.70 x 12.50 cm",1.12,"N/A","Aug 14, 2024",,"No",23,"LWB Retail"
