Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  £,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  £,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
53,"Cetraben Moisturising Cream, For Dry, Itchy, Sensitive & Eczema-Prone Skin, Soothe, Moisturise, Hydrate, & Protect, Dermatological Moisturiser, Daily Use on the Body, Fragrance Free, 1 x 475ml",B071VGB2LW,Cream,https://www.amazon.co.uk/dp/B071VGB2LW?psc=1,https://m.media-amazon.com/images/I/61zQxAoMkIL._AC_SY355_.jpg,Cetraben,8.87,"16,257","12,954","9,000","181,412.65","160,816.75",192,142,AMZ,4.98,15,4.6,"9,355",9,44,Amazon,Beauty,Small Parcel,AMZ,21.20 x 7.60 x 7.90 cm,0.61,N/A,"May 10, 2017",,No,110,Amazon
37,"E45 Moisturising Lotion 500 ml for Dry & Sensitive Skin - Long-Lasting Hydration Protect from Dryness, Reduce Redness - Dermatological Body Moisturiser Lotion - Body Lotion - Daily Moisturiser",B001RYSEVK,Cream,https://www.amazon.co.uk/dp/B001RYSEVK?psc=1,https://m.media-amazon.com/images/I/617iVsO2KIL._AC_SY355_.jpg,E45,6.04,"17,004","18,353","10,000","121,584.82","126,250.66",192,43,AMZ,3.27,28,4.7,"18,626",7,102,Amazon,Home & Kitchen,Extra Large Envelope,AMZ,20.60 x 4.60 x 8.71 cm,0.54,N/A,"Jul 2, 2008",,No,216,Amazon
16,"E45 Itch Relief Cream 500g – Treatment for Eczema, Dry Skin, Dermatitis and Itchy Skin – Instant 24-Hour Hydration with Urea for Moisture Retention - Perfume free and dermatologically tested",B001EJOHUU,Cream,https://www.amazon.co.uk/dp/B001EJOHUU?psc=1,https://m.media-amazon.com/images/I/51Y6C5624FL._AC_SY355_.jpg,E45,14.58,"6,918","6,918","5,000","115,679.98","115,679.98",190,603,AMZ,5.72,24,4.6,"3,339",7,39,Amazon,Health & Personal Care,Small Parcel,AMZ,21.10 x 7.80 x 8.20 cm,0.61,N/A,"Aug 6, 2008",,No,215,Amazon
39,"Epaderm Moisturising Cream for Dry Skin, including Eczema and Psoriasis, 500g Pump",B006EI0OLM,Cream,https://www.amazon.co.uk/dp/B006EI0OLM?psc=1,https://m.media-amazon.com/images/I/51hf1vxJoEL._AC_SY355_.jpg,Epaderm,8.28,"9,505","9,505","6,000","96,974.20","96,974.21",82,285,AMZ,4.63,30,4.7,"5,703",11,35,Amazon,Beauty,Small Parcel,AMZ,21.20 x 7.60 x 7.80 cm,0.62,N/A,"Oct 11, 2010",,No,189,Amazon
35,"Eurax Itch Relief Cream, Hydrating Relief from Itchy & Irritated Skin, Alleviates Itching from Rashes, Eczema, Dermatitis & Chickenpox, Dermatologist Recommended, Contains Crotamiton, 1 x 100g",B001IC5TLE,Cream,https://www.amazon.co.uk/dp/B001IC5TLE?psc=1,https://m.media-amazon.com/images/I/51in1vIDyBL._AC_SX355_.jpg,Eurax,5.03,"13,379","12,423","9,000","79,254.11","75,910.83",192,52,AMZ,3.51,14,4.5,"15,595",6,82,Amazon,Pet Supplies,Large Envelope,AMZ,18.50 x 3.90 x 4.80 cm,0.12,N/A,"Oct 15, 2008",,No,213,Amazon
40,"Bioderma Atoderm Body Wash Family (Women, Men and Kids) Moisturizing and Cleansing Shower Oil for Very Dry Sensitive Skin, 33.80 Fl Oz 1 Liter",B00ZY65OSI,Wash,https://www.amazon.co.uk/dp/B00ZY65OSI?psc=1,https://m.media-amazon.com/images/I/615ZenpkpGL._AC_SY355_.jpg,Bioderma,15.56,"3,981","3,981","3,000","70,097.76","70,097.77",142,996,FR,5.74,23,4.6,"31,262",8,266,Cosmeco,Beauty,Small Parcel,FBA,22.50 x 8.00 x 10.50 cm,1.17,N/A,"Aug 27, 2015",,No,131,Cosmeco
38,"Doublebase Dry Skin Emollient. Clinically Proven Moisturiser for Eczema, Psoriasis and Dermatitis Treatment. Body Cream for Dry Skin Relief (Packaging May Vary), 250g Pump Pack",B084F578HM,Cream,https://www.amazon.co.uk/dp/B084F578HM?psc=1,https://m.media-amazon.com/images/I/61jdH2RoO0L._AC_SY355_.jpg,Doublebase,6.53,"9,003","7,263","5,000","66,036.42","56,939.57",176,237,AMZ,4.12,10,4.6,"8,894",8,43,Amazon,Beauty,Small Parcel,AMZ,19.10 x 6.70 x 6.90 cm,0.36,N/A,"Feb 1, 2020",,No,77,Amazon
49,"E45 Moisturiser, Body, Face And Hand Cream For Dry, Flaky Skin, Suitable For Eczema, Dry Psoriasis, Sunburn, 500g Tub",B07MJW2BQF,Cream,https://www.amazon.co.uk/dp/B07MJW2BQF?psc=1,https://m.media-amazon.com/images/I/61zeiqJ0iNL._SY342_.jpg,E45,4.09,"12,712","4,512","4,000","119,302.65","54,542.26",117,180,AMZ,4.92,7,4.7,"13,400",9,83,Amazon,,Small Parcel,AMZ,12.00 x 8.70 x 8.80 cm,0.57,N/A,"Oct 24, 2019",,No,81,Amazon
64,"Clever Soap 0.5% Piroctone Olamine Face & Body Cream - Helps Prevent Flare-Ups - Suitable For Seborrheic Dermatitis, Psoriasis, Acne, Dry & Oily, Sensitive Skin - Fragrance & Oil Free, For Men & Women",B0CFB888KB,Cream,https://www.amazon.co.uk/dp/B0CFB888KB?psc=1,https://m.media-amazon.com/images/I/61tRdmHTw0L._AC_SY355_.jpg,Clever Soap,8.32,"5,315","5,315","3,000","53,092.35","53,092.33",200,705,GB,2.47,1,4.3,164,8,14,Clever Soap,Beauty,Standard Envelope,FBA,6.60 x 2.40 x 6.40 cm,0.08,N/A,"Aug 10, 2023",,No,35,Clever Soap
36,La Roche Posay LIPIKAR AP+Max Triple-Action Balm for ultra-dry to atopic eczema-prone skin 400ml,B0FTFQB5YF,Cream,https://www.amazon.co.uk/dp/B0FTFQB5YF?psc=1,https://m.media-amazon.com/images/I/41AbiHD5iHL._AC_SX342_.jpg,,21.24,"1,924","1,924","1,000","49,039.38","49,039.36",96,"1,886",AMZ,6.88,3,4.7,275,14,104,Amazon,Health & Personal Care,Extra Large Envelope,AMZ,20.10 x 5.60 x 5.60 cm,0.44,N/A,"Mar 10, 2026",,No,4,Amazon
