"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
9.,"Emolium Bath Emulsion Dry Atopic Skin Baby and Adult 400ml","B00M0IAB9K","https://www.amazon.co.uk/dp/B00M0IAB9K?psc=1","https://m.media-amazon.com/images/I/61b36yEOoSL._AC_SY355_.jpg","EMOLIUM",24.99,5,5,"N/A",151.59,151.6,58,"105,335","GB",7.59,2,4.7,128,4,2,"Nefretete Uk","Beauty","Small Parcel","FBA","22.10 x 6.70 x 6.90 cm",0.42,"N/A","Jul 22, 2014",,"No",144,"Nefretete Uk"
10.,"Healpsorin Baby Gentle Bath Emulsion for Dry & Eczema-Prone Skin – Calendula & Sweet Almond Oil – Mild Moisturizing Wash for Sensitive Baby Skin – Fragrance Free","B08PPW8NNN","https://www.amazon.co.uk/dp/B08PPW8NNN?psc=1","https://m.media-amazon.com/images/I/71juhRmRRkL._AC_SY355_.jpg","Dermz",11.66,67,23,"N/A",943.85,321.66,161,"5,492","GB",5.09,1,4.3,67,6,0,"Dermz Laboratories","Baby Products","Small Parcel","FBA","18.10 x 6.30 x 6.40 cm",0.34,"N/A","Dec 4, 2020",,"No",67,"Dermz Laboratories"
12.,"E45 Bath Oil 500 ml – E45 Bath Oil Emollient to Moisturise & Hydrate Dry Skin – Gently Cleanses for Soft Skin – Soap Free & Perfume Free Emollient Bath & Shower Oil Body Wash - Dermatologically Tested","B002J9DEZ8","https://www.amazon.co.uk/dp/B002J9DEZ8?psc=1","https://m.media-amazon.com/images/I/51AbQLUDHoL._AC_SY355_.jpg","E45",6.11,"2,706","2,629","1,000","26,389.78","23,739.68",200,"1,380","AMZ",3.28,16,4.7,"2,131",6,93,"Amazon","Beauty","Extra Large Envelope","AMZ","19.80 x 4.40 x 9.00 cm",0.47,"N/A","Jan 14, 2009",,"No",210,"Amazon"
13.,"Emolium Special Cream Dry, Atopic Skin 75ml - from 1st month","B00UC09A54","https://www.amazon.co.uk/dp/B00UC09A54?psc=1","https://m.media-amazon.com/images/I/51SMhrLPMML._AC_SY355_.jpg","Emolium",21.89,1,1,"N/A",24.91,24.9,60,"208,118","GB",6.26,1,4.8,9,3,0,"aptekaonline","Beauty","Extra Large Envelope","MFN","15.20 x 4.40 x 4.40 cm",0.12,"N/A","Jan 2, 2016",,"No",126,"aptekaonline"
14.,"Eucerin Bath and Shower Oil 400ml","B00I0TQPR0","https://www.amazon.co.uk/dp/B00I0TQPR0?psc=1","https://m.media-amazon.com/images/I/719DW2H57BL._AC_SX342_.jpg","Eucerin",10.27,741,741,600,"10,505.39","10,505.39",33,"6,547","AMZ",5.59,11,4.4,370,7,5,"Amazon","Beauty","Large Envelope","AMZ","21.70 x 3.60 x 7.80 cm",0.44,"N/A","Jan 24, 2014",,"No",150,"Amazon"
19.,"Oilatum Emollient Bath Liquid for Eczema, Psoriasis and Dry Skin Conditions, Soothing Formula for Sensitive Skin, Hydrating Relief for Itchy, Irritated Skin, 1 x 500ml","B001PMM3BG","https://www.amazon.co.uk/dp/B001PMM3BG?psc=1","https://m.media-amazon.com/images/I/61ZF0YxgJDL._AC_SY355_.jpg","Oilatum",10.42,"2,288","2,288","1,000","28,589.39","28,589.39",167,"2,288","AMZ",4.86,16,4.7,"1,767",8,9,"Amazon","Beauty","Extra Large Envelope","AMZ","24.61 x 5.21 x 9.19 cm",0.52,"N/A","Mar 4, 2009",,"No",208,"Amazon"
20.,"DERMEDIC - LINUM BABY - EMOLIENT - Emolient bath emulsion from the first day of life - 200 ml - Recommended for everyday hygiene and care of dry, very dry and atopic skin as well as skin susceptible to allergies or showing symptoms of psoriasis. Recommended for children and infants from their first day of life - Hypoallergenic","B01E7Z7BOG","https://www.amazon.co.uk/dp/B01E7Z7BOG?psc=1","https://m.media-amazon.com/images/I/310BKCRuvuL._AC_SX355_.jpg","DERMENA",9.3,0,0,"N/A",0,0,328,"N/A","BG","N/A",2,1,1,1,0,"Dealon",,"N/A","MFN","N/A","N/A","N/A","Apr 13, 2016",,"No",123,"Dealon"
24.,"Bath Oil Gel for Atopic Skin 4 Pack","B0FQX8GJRY","https://www.amazon.co.uk/dp/B0FQX8GJRY?psc=1","https://m.media-amazon.com/images/I/41I-xiB3KuL._AC_SY355_PIbundle-4,TopRight,0,0_SH20_.jpg","Generisch",27.51,0,0,"N/A",0,0,35,"414,963","ES","N/A",1,"N/A",0,"N/A",0,"Good4 you","Beauty","N/A","MFN","N/A","N/A","N/A","N/A",,"No","N/A","Good4 you"
25.,"Multidermol Gel Urea - Soap Free Bath and Shower Emulsion, Suitable for Dry Skin - 750 ml","B00TTWWRJM","https://www.amazon.co.uk/dp/B00TTWWRJM?psc=1","https://m.media-amazon.com/images/I/71s43fSJ2nL._AC_SY355_.jpg","MULTIDERMOL",35.87,0,0,"N/A",0,0,89,"697,799","ES",9.11,1,4.5,27,2,0,"LESS WASTE","Beauty","Extra Large Envelope","MFN","28.00 x 5.00 x 8.50 cm",0.82,"N/A","Sep 28, 2015",,"No",130,"LESS WASTE"
29.,"Balneum Medicinal Bath Oil - Nourishing SOYA Oil Emollient for Healthy Skin - Moisturises, Hydrates and Protects - Suitable for Dry Skin Conditions - for Men and Women - 500ml","B001PML7RW","https://www.amazon.co.uk/dp/B001PML7RW?psc=1","https://m.media-amazon.com/images/I/81uuinKoI4L._AC_SY355_.jpg","Balneum",8.32,157,157,100,"1,568.28","1,568.27",175,"16,658","GB",3.89,15,4.6,419,4,0,"Direct Care Ltd","Beauty","Small Parcel","MFN","19.50 x 6.90 x 7.30 cm",0.54,"N/A","Jun 8, 2009",,"No",205,"Direct Care Ltd"
30.,"Balneum Plus Bath Additive - Bath Oil with Lauromacrogols & SOYA Oil for Intensive Hydration, Softening & Soothing of Itchy & Dry Skin, Relaxing Bath Soak for Women & Men, 500ml (Packing May Vary)","B006EHZSDM","https://www.amazon.co.uk/dp/B006EHZSDM?psc=1","https://m.media-amazon.com/images/I/718uKXkyn1L._AC_SY355_.jpg","Balneum",6.09,210,210,100,"1,684.86","1,684.84",196,"18,936","GB",3.09,21,4.6,241,7,3,"DerixOnline","Beauty","Small Parcel","MFN","19.60 x 7.00 x 7.20 cm",0.54,"N/A","May 12, 2008",,"No",218,"DerixOnline"
31.,"Repavar Atopic Skin - Ultrasoft and Anti-Irritant Bath Gel - Relieves Itching and Strengthens the Aggravated Skin Barrier - For Atopic, Dry and Very Dry Skin - 750 ml","B009SM834Q","https://www.amazon.co.uk/dp/B009SM834Q?psc=1","https://m.media-amazon.com/images/I/61hAZTmXJNL._AC_SY355_.jpg","Atopic-Piel",19.95,0,0,"N/A",0,0,166,"697,540","N/A",5.88,2,4.3,145,5,1,,"Beauty","Extra Large Envelope","MFN","26.60 x 6.00 x 8.40 cm",0.86,"N/A","Oct 18, 2012",,"No",165,
32.,"E45 Bath Oil 500 ml – E45 Bath Oil Emollient to Moisturise & Hydrate Dry Skin – Gently Cleanses for Soft Skin – Soap Free & Perfume Free Emollient Bath & Shower Oil Body Wash - Dermatologically Tested","B0D1RB1WGQ","https://www.amazon.co.uk/dp/B0D1RB1WGQ?psc=1","https://m.media-amazon.com/images/I/61wp2MOKNaL._AC_SX355_PIbundle-2,TopRight,0,0_SH20_.jpg","E45",14.66,0,0,"N/A",0,0,200,"34,964","AMZ","N/A",1,4.9,22,7,0,"Amazon","Beauty","Extra Large Envelope","AMZ","19.80 x 4.40 x 9.00 cm",0.94,"N/A","Dec 8, 2025",,"No",7,"Amazon"
33.,"Oilatum Emollient Bath Liquid (1 x 500ml) & Emollient Cream (1 x 500ml), Psoriasis, Eczema and Dry Skin Conditions, Soothing Formula, Hydrating Relief for Itchy Skin, Dermatologist Recommended","B0D54N5SP6","https://www.amazon.co.uk/dp/B0D54N5SP6?psc=1","https://m.media-amazon.com/images/I/51ykO5G-rbL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg","Oilatum",24,0,0,"N/A",0,0,192,"138,915","AMZ","N/A",1,5,1,5,0,"Amazon","Health & Personal Care","N/A","AMZ","N/A","N/A","N/A","May 24, 2024",,"No",26,"Amazon"
