"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
4.,"Emolium Bath Emulsion Dry Atopic Skin Baby and Adult 400ml","B00M0IAB9K","https://www.amazon.co.uk/dp/B00M0IAB9K?psc=1","https://m.media-amazon.com/images/I/61b36yEOoSL._AC_SY355_.jpg","EMOLIUM",24.99,5,5,"N/A",151.59,151.6,58,"105,335","GB",7.59,2,4.7,128,4,2,"Nefretete Uk","Beauty","Small Parcel","FBA","22.10 x 6.70 x 6.90 cm",0.42,"N/A","Jul 22, 2014",,"No",144,"Nefretete Uk"
9.,"EMOLIUM Dermocare 3-in-1 Bath Lotion Wash Gel Shampoo 400 ml for Children from 1 Month","B08R1V5MXR","https://www.amazon.co.uk/dp/B08R1V5MXR?psc=1","https://m.media-amazon.com/images/I/711+Y+SdMXL._AC_SY355_.jpg","Emolium",20.77,13,13,"N/A",323.33,323.36,86,"19,541","GB",6.82,8,4.3,9,4,0,"Fitness Fuel","Baby Products","Small Parcel","FBA","22.30 x 6.70 x 6.80 cm",0.49,"N/A","Dec 18, 2020",,"No",67,"Fitness Fuel"
10.,"Healpsorin Baby Gentle Bath Emulsion for Dry & Eczema-Prone Skin – Calendula & Sweet Almond Oil – Mild Moisturizing Wash for Sensitive Baby Skin – Fragrance Free","B08PPW8NNN","https://www.amazon.co.uk/dp/B08PPW8NNN?psc=1","https://m.media-amazon.com/images/I/71juhRmRRkL._AC_SY355_.jpg","Dermz",11.66,67,23,"N/A",943.85,321.66,161,"5,492","GB",5.09,1,4.3,67,6,0,"Dermz Laboratories","Baby Products","Small Parcel","FBA","18.10 x 6.30 x 6.40 cm",0.34,"N/A","Dec 4, 2020",,"No",67,"Dermz Laboratories"
15.,"E45 Bath Oil 500 ml – E45 Bath Oil Emollient to Moisturise & Hydrate Dry Skin – Gently Cleanses for Soft Skin – Soap Free & Perfume Free Emollient Bath & Shower Oil Body Wash - Dermatologically Tested","B002J9DEZ8","https://www.amazon.co.uk/dp/B002J9DEZ8?psc=1","https://m.media-amazon.com/images/I/51AbQLUDHoL._AC_SY355_.jpg","E45",6.11,"2,706","2,629","1,000","26,389.78","23,739.68",200,"1,380","AMZ",3.28,16,4.7,"2,131",6,93,"Amazon","Beauty","Extra Large Envelope","AMZ","19.80 x 4.40 x 9.00 cm",0.47,"N/A","Jan 14, 2009",,"No",210,"Amazon"
16.,"Emolium Special Cream Dry, Atopic Skin 75ml - from 1st month","B00UC09A54","https://www.amazon.co.uk/dp/B00UC09A54?psc=1","https://m.media-amazon.com/images/I/51SMhrLPMML._AC_SY355_.jpg","Emolium",21.89,1,1,"N/A",24.91,24.9,60,"208,118","GB",6.26,1,4.8,9,3,0,"aptekaonline","Beauty","Extra Large Envelope","MFN","15.20 x 4.40 x 4.40 cm",0.12,"N/A","Jan 2, 2016",,"No",126,"aptekaonline"
17.,"Eucerin Bath and Shower Oil 400ml","B00I0TQPR0","https://www.amazon.co.uk/dp/B00I0TQPR0?psc=1","https://m.media-amazon.com/images/I/719DW2H57BL._AC_SX342_.jpg","Eucerin",10.27,741,741,600,"10,505.39","10,505.39",33,"6,547","AMZ",5.59,11,4.4,370,7,5,"Amazon","Beauty","Large Envelope","AMZ","21.70 x 3.60 x 7.80 cm",0.44,"N/A","Jan 24, 2014",,"No",150,"Amazon"
22.,"Oilatum Emollient Bath Liquid for Eczema, Psoriasis and Dry Skin Conditions, Soothing Formula for Sensitive Skin, Hydrating Relief for Itchy, Irritated Skin, 1 x 500ml","B001PMM3BG","https://www.amazon.co.uk/dp/B001PMM3BG?psc=1","https://m.media-amazon.com/images/I/61ZF0YxgJDL._AC_SY355_.jpg","Oilatum",10.42,"2,288","2,288","1,000","28,589.39","28,589.39",167,"2,288","AMZ",4.86,16,4.7,"1,767",8,9,"Amazon","Beauty","Extra Large Envelope","AMZ","24.61 x 5.21 x 9.19 cm",0.52,"N/A","Mar 4, 2009",,"No",208,"Amazon"
23.,"Bath Oil Gel for Atopic Skin 4 Pack","B0FQX8GJRY","https://www.amazon.co.uk/dp/B0FQX8GJRY?psc=1","https://m.media-amazon.com/images/I/41I-xiB3KuL._AC_SY355_PIbundle-4,TopRight,0,0_SH20_.jpg","Generisch",27.51,0,0,"N/A",0,0,35,"414,963","ES","N/A",1,"N/A",0,"N/A",0,"Good4 you","Beauty","N/A","MFN","N/A","N/A","N/A","N/A",,"No","N/A","Good4 you"
24.,"DERMEDIC - LINUM BABY - EMOLIENT - Emolient bath emulsion from the first day of life - 200 ml - Recommended for everyday hygiene and care of dry, very dry and atopic skin as well as skin susceptible to allergies or showing symptoms of psoriasis. Recommended for children and infants from their first day of life - Hypoallergenic","B01E7Z7BOG","https://www.amazon.co.uk/dp/B01E7Z7BOG?psc=1","https://m.media-amazon.com/images/I/310BKCRuvuL._AC_SX355_.jpg","DERMENA",9.3,0,0,"N/A",0,0,328,"N/A","BG","N/A",2,1,1,1,0,"Dealon",,"N/A","MFN","N/A","N/A","N/A","Apr 13, 2016",,"No",123,"Dealon"
25.,"Oilatum Moisture Rich Bath Soak, For Dry, Itchy, Sensitive and Eczema-prone Skin, Soothes, Hydrates and Relieves Dryness, Protects the Skin, Suitable for Everyday Use, 1 x 300ml","B001RYUCL0","https://www.amazon.co.uk/dp/B001RYUCL0?psc=1","https://m.media-amazon.com/images/I/61ntLoMlKhL._AC_SY355_.jpg","Oilatum",6.99,"1,437","1,293",800,"12,524.1","11,640.83",177,"3,631","AMZ",3.41,11,4.6,"1,877",7,3,"Amazon","Beauty","Large Envelope","AMZ","18.42 x 3.71 x 8.71 cm",0.3,"N/A","Feb 27, 2010",,"No",197,"Amazon"
