"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
9.,"E45 Bath Oil 500 ml – E45 Bath Oil Emollient to Moisturise & Hydrate Dry Skin – Gently Cleanses for Soft Skin – Soap Free & Perfume Free Emollient Bath & Shower Oil Body Wash - Dermatologically Tested","B002J9DEZ8","https://www.amazon.co.uk/dp/B002J9DEZ8?psc=1","https://m.media-amazon.com/images/I/51AbQLUDHoL._AC_SY355_.jpg","E45",6.11,"2,706","2,629","1,000","26,389.78","23,739.68",200,"1,380","AMZ",3.28,16,4.7,"2,131",6,93,"Amazon","Beauty","Extra Large Envelope","AMZ","19.80 x 4.40 x 9.00 cm",0.47,"N/A","Jan 14, 2009",,"No",210,"Amazon"
10.,"Bath Oil Gel for Atopic Skin 4 Pack","B0FQX8GJRY","https://www.amazon.co.uk/dp/B0FQX8GJRY?psc=1","https://m.media-amazon.com/images/I/41I-xiB3KuL._AC_SY355_PIbundle-4,TopRight,0,0_SH20_.jpg","Generisch",27.51,0,0,"N/A",0,0,35,"414,963","ES","N/A",1,"N/A",0,"N/A",0,"Good4 you","Beauty","N/A","MFN","N/A","N/A","N/A","N/A",,"No","N/A","Good4 you"
16.,"Eucerin Bath and Shower Oil 400ml","B00I0TQPR0","https://www.amazon.co.uk/dp/B00I0TQPR0?psc=1","https://m.media-amazon.com/images/I/719DW2H57BL._AC_SX342_.jpg","Eucerin",10.27,741,741,600,"10,505.39","10,505.39",33,"6,547","AMZ",5.59,11,4.4,370,7,5,"Amazon","Beauty","Large Envelope","AMZ","21.70 x 3.60 x 7.80 cm",0.44,"N/A","Jan 24, 2014",,"No",150,"Amazon"
17.,"QV Bath Oil (250 ml) Moisturising Bath Soak for Sensitive Skin, Relief from Dry Itchy Skin, Gentle pH Balanced Formula, Fragrance Free, Soap Free, Non Greasy, Noncomedogenic Bath Soak","B009P41AJW","https://www.amazon.co.uk/dp/B009P41AJW?psc=1","https://m.media-amazon.com/images/I/617yGiX-c4L._AC_SY355_.jpg","QV",4.37,"1,009",315,200,"8,654.61","2,101.1",183,"4,319","AMZ",2.88,4,4.5,826,8,8,"Amazon","Beauty","Large Envelope","AMZ","14.50 x 3.80 x 8.20 cm",0.24,"N/A","Oct 21, 2012",,"No",165,"Amazon"
18.,"La Roche-Posay Lipikar Cleansing Oil AP+ for Dry, Itchy Skin 400ml","B07Q6FG1T6","https://www.amazon.co.uk/dp/B07Q6FG1T6?psc=1","https://m.media-amazon.com/images/I/71ly0UcyTUL._AC_SX342_.jpg",,19,286,286,200,"5,635.85","5,635.85",66,"10,110","AMZ",5.83,1,4.6,"2,759",2,51,"Amazon","Beauty","Extra Large Envelope","AMZ","20.10 x 5.50 x 5.50 cm",0.48,"N/A","Mar 15, 2019",,"No",88,"Amazon"
23.,"Oilatum Emollient Bath Liquid for Eczema, Psoriasis and Dry Skin Conditions, Soothing Formula for Sensitive Skin, Hydrating Relief for Itchy, Irritated Skin, 1 x 500ml","B001PMM3BG","https://www.amazon.co.uk/dp/B001PMM3BG?psc=1","https://m.media-amazon.com/images/I/61ZF0YxgJDL._AC_SY355_.jpg","Oilatum",10.42,"2,288","2,288","1,000","28,589.39","28,589.39",167,"2,288","AMZ",4.86,16,4.7,"1,767",8,9,"Amazon","Beauty","Extra Large Envelope","AMZ","24.61 x 5.21 x 9.19 cm",0.52,"N/A","Mar 4, 2009",,"No",208,"Amazon"
24.,"Atopic Skin Bath Oil Gel, 500ml, Soybean Oil Formula for Sensitive Skin, PACK OF 3","B0GMKGZRW5","https://www.amazon.co.uk/dp/B0GMKGZRW5?psc=1","https://m.media-amazon.com/images/I/31D02TKPD6L._AC_SY355_.jpg","Generic",24.23,0,0,"N/A",0,0,82,"N/A","ES","N/A",1,"N/A",0,"N/A",0,"LOGAN MALL",,"N/A","MFN","N/A","N/A","N/A","N/A",,"No","N/A","LOGAN MALL"
32.,"Oilatum Moisture Rich Bath Soak, For Dry, Itchy, Sensitive and Eczema-prone Skin, Soothes, Hydrates and Relieves Dryness, Protects the Skin, Fragrance Free, Suitable for Everyday Use, 1 x 150ml","B003XJB1F8","https://www.amazon.co.uk/dp/B003XJB1F8?psc=1","https://m.media-amazon.com/images/I/61-skPOwvYL._AC_SY355_.jpg","Oilatum",5.57,"1,437",143,100,"12,524.1",883.3,193,"3,631","AMZ",2.99,4,4.6,"1,877",1,9,"Amazon","Beauty","Large Envelope","AMZ","16.20 x 3.90 x 7.50 cm",0.18,"N/A","Nov 1, 2010",,"No",188,"Amazon"
33.,"ISDIN Nutratopic Pro-AMP Emollient Bath Gel (Atopic Skin) - 750 ml.","B00BN7XF2E","https://www.amazon.co.uk/dp/B00BN7XF2E?psc=1","https://m.media-amazon.com/images/I/512P-gP01WL._AC_SX342_.jpg",,21.37,27,7,"N/A",500.8,140.22,67,"57,854","ES",6.03,4,4.7,"1,279",1,14,"Amazon","Beauty","Small Parcel","MFN","21.30 x 7.70 x 7.80 cm",0.8,"N/A","Mar 1, 2013",,"No",160,"Amazon"
37.,"FREZYDERM Atoprel Milky Bath Oil 250 ml","B09V7PXZF1","https://www.amazon.co.uk/dp/B09V7PXZF1?psc=1","https://m.media-amazon.com/images/I/41qKT3zuhgL._AC_SY355_.jpg","FREZYDERM",17.08,1,1,"N/A",22.92,22.92,39,"340,757","GB",6.08,2,5,1,5,0,"HealthBeautyCare","Beauty","Extra Large Envelope","MFN","22.30 x 5.40 x 6.00 cm",0.27,"N/A","Mar 30, 2022",,"No",52,"HealthBeautyCare"
