marketplace,asin,title,date,rating,review
UK,B0CRVVD71H,Effective Insect Killer.,28 June 2026,5.0,"Very effective and low odour insect killer , good value for money. ( Unfortunately nozzle on spray was not spraying correctly so had to swap with old aerosol can )

nigelfrancis"
UK,B0CRVVD71H,Best ever,30 June 2026,5.0,"Brilliant , drops everything flying about no matter how big or small , finally one that works

jillian norris"
UK,B0CRVVD71H,Kills ants as well,27 June 2026,5.0,"Have used this insect killer for years as U can use it for several thoes

mavrick92"
UK,B0CRVVD71H,Best buy for dealing with unwanted insects,5 July 2026,5.0,"This inspect spray kills all the flys and ants

Ahsan"
UK,B0CRVVD71H,Did the job,2 July 2026,5.0,"Did the job

OSVALDO"
UK,B0CRVVD71H,Killed,8 June 2026,5.0,"Very good

Helena"
UK,B0CRVVD71H,Very good,29 May 2026,5.0,"Very good , easy to spray and works instantly great prudoct for the price

Moonbeam"
UK,B0CRVVD71H,Very effective for underground nests,19 August 2025,5.0,"This is fantastic and the only thing that sorted an underground wasps nest. It was underneath a storage unit where we keep the lawnmower, so couldn't get the mower out without being attacked. Please ensure you are dealing with wasps before using as we do not want to kill bees under any circumstances!!! I bought the Zero in foam cans at first but the foam disappeared after a few minutes and after 6 attempts the wasps were still coming in and out.I then tried this powder and waited until evening when the wasps were less active and plucked up the courage to squeeze out a pile of powder right at the entrance hole to the nest. By morning there was a pile of wasps outside and the nest was no longer active. The wasps had been taking the powder into the nest on their bodies and wings and it killed the entire nest overnight. Highly recommended . It would not work for nests that are high up as you have to get up very close. And don't use when it's windy. I cleared up any leftover/excess powder afterwards as I did not wish to harm any other insects or creatures, please do the same."
UK,B0CRVVD71H,👏,29 April 2026,5.0,"Good stuff!

Mrs JKW"
UK,B0CRVVD71H,Did the job,26 April 2026,5.0,"Need a good airing afterwards

merchman 2"
UK,B0CRVVD71H,good item,11 April 2026,5.0,"eco friendly, good price good item fast delivery

John, Shropshire"
UK,B0CRVVD71H,Killed a wasp nest very effectively,14 August 2025,5.0,"This powder certainly kills wasps effectively and is to be recommended. I had to add a flexible tube to the end of the nozzle so that I could blow powder into the gaps in the brick mortar, just under the soffit boards of the garage, where they were building a nest. I practiced how to do it away from the wasps to begin with but it was quick to spray in the end, late one evening. By next morning only a few wasps were flying around, clearly not sure what to do as they could detect something was wrong. All activity ceased after a couple of days. I didn't enjoy killing the nest like this but there's still plenty of powder left should it be needed again, so definitely worth the money.

Karen"
UK,B0CRVVD71H,"Fast, easy and very effective.",20 July 2025,5.0,"Fantastic. I'm mildly allergic to wasp stings so a nest in my compost heap was the stuff of nightmares. But with this, a few quick puffs into a few holes and by the next day; peace! So easy. Not convinced, I then dug at the heap and out fell waspzilla (the queen) and the last few dying drones. Did not have to see the nest to kill it which was perfect for me. The wasps took the powder in with them and did the job for me, and no angry wasps to deal with in the process. Im keeping stocked up with this stuff from now on. Goes a long way, and works quickly so good value too.

cmr"
UK,B0CRVVD71H,Fabulous! don't hesitate to buy it,9 September 2024,5.0,"I was invaded by ants with wings, google told me that they could be carpenter ants or termites.
I tried my best to use all natural methods: Peppermint oil, cayenne pepper, vinegar, and baking powder.
At one point after using one of these methods, I came into the kitchen to find lots of them, and what appeared to be the queen. It was as if they had arranged a conference saying ""Hey lads where shall we go now""
I was starting to find them in the living room too.
I did some research and chose this product. It's amazing! a huge difference straight away and not an ant in sight within a few hours.
I thought I would have to get professionals in, at a cost I couldn't afford.
Don't hesitate, this works.
I held back from writing a review for a couple of days to see if it was a false alarm. It isn't! Not an ant in sight.
Highly recommended."
UK,B0CRVVD71H,Great protect very effective.,28 November 2025,5.0,"Amazing product, does what is says in quick effect. Great size, i was able to spray every corner of my room + windows inside and outside and have more than half a bottle left. I can finaly open my windows without having to be scarejumped by spiders crawling all over.

Iffat Jamil"
UK,B0CRVVD71H,recommend,28 February 2026,5.0,"good cover all type of insects,"
UK,B0CRVVD71H,Prayers Answered,27 July 2025,5.0,"Ohhh my good Lord, for years I have had a phobia of anything flying around me, and with me having Asperger's syndrome and I'm Autistic so it's so difficult for me to deal with horrible things flying around me annoying me, my prayers have been answered by finding this stuff one spray and bye bye fly, daddy long leg wasps. I most definitely will be continuing to use this spray as my insect killer. I'm one happy Bunny"
