"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
8.,"E45 Dry Scalp Shampoo for Very Dry, Itchy and Flaky Scalp - Anti Dandruff Shampoo with hydrating Vitamin B5 – Free from fragrance, soap and perfume 200ml","B001RYUCQU","https://www.amazon.co.uk/dp/B001RYUCQU?psc=1","https://m.media-amazon.com/images/I/51HBv-3f1lL._AC_SY355_.jpg","E45",4.16,"8,561","8,561","7,000","49,943.42","49,943.42",153,289,"AMZ",2.86,4,4.5,"6,808",6,42,"Amazon","Beauty","Large Envelope","AMZ","15.50 x 3.30 x 6.40 cm",0.23,"N/A","Aug 21, 2008",,"No",214,"Amazon"
13.,"Nizoral Scalp Soothing Dry and Eczema Prone Shampoo, 24 Hour Soothing Care, Ongoing Relief for Dry, Itchy & Flaky Scalps, Get Soft and Silky Hair, Moisturising Care for All Hair Types, 1 x 200ml","B0D5SJBMVT","https://www.amazon.co.uk/dp/B0D5SJBMVT?psc=1","https://m.media-amazon.com/images/I/61aIwVDIu8L._AC_SY355_.jpg","Nizoral",5.32,"10,249","1,782","2,000","62,585.72","10,183.82",194,168,"AMZ","N/A",7,4.4,614,8,44,"Amazon","Beauty","Extra Large Envelope","AMZ","16.70 x 4.70 x 7.80 cm",0.02,"N/A","May 31, 2024",,"No",25,"Amazon"
14.,"Polytar Scalp Shampoo, For Scalp Conditions, Reduces Itching, Inflammation and Scales, Shampoo Treats Psoriasis, Seborrhoeic Dermatitis, Eczema and Dandruff, Contains Coal Tar Solution, 1 x 150ml","B07NPW27GG","https://www.amazon.co.uk/dp/B07NPW27GG?psc=1","https://m.media-amazon.com/images/I/51mDg3JzvTL._AC_SY355_.jpg","Polytar",7.49,"11,890","11,890","8,000","125,993.18","125,993.16",195,222,"AMZ",3.18,10,4.5,"5,458",7,40,"Amazon","Beauty","Large Envelope","AMZ","16.40 x 3.40 x 7.60 cm",0.19,"N/A","Apr 5, 2019",,"No",86,"Amazon"
20.,"Sea Magik - Salicylic Acid Shampoo for Psoriasis & Itchy Scalp Relief, Soothing Antibacterial Seaweed Treatment for Medicated Conditions Like Folliculitis, Eczema & Scalp Acne, Cruelty-Free (300ml)","B08NPPK4CX","https://www.amazon.co.uk/dp/B08NPPK4CX?psc=1","https://m.media-amazon.com/images/I/61RGjHqAEyL._AC_SY355_.jpg","Sea Magik",9.79,"3,881","2,768","2,000","55,807.71","32,426.86",197,947,"GB",4.74,9,4.3,"1,110",9,37,"Sea Magik","Beauty","Extra Large Envelope","FBA","19.80 x 5.10 x 5.10 cm",0.34,"N/A","Nov 17, 2020",,"No",67,"Sea Magik"
21.,"Folliculitis & Seborrheic Dermatitis Shampoo – Anti-Dandruff, Psoriasis & Itchy Scalp Treatment – Soothes Redness, Flaking & Irritation","B0FGGTST5H","https://www.amazon.co.uk/dp/B0FGGTST5H?psc=1","https://m.media-amazon.com/images/I/71IqBcDgPuL._AC_SY355_.jpg","PHARMBANNER",17.41,"3,940","3,033","2,000","85,713.66","66,029.45",135,"1,071","US",6.28,2,4.4,"1,524",8,42,"PHARMBANNER Store","Beauty","Extra Large Envelope","FBA","17.70 x 5.50 x 5.60 cm",0.31,"N/A","Jul 2, 2025",,"No",11,"PHARMBANNER Store"
22.,"Psoriasis & Folliculitis Scalp Treatment Shampoo: Seborrheic Dermatitis Formula, Anti-Dandruff, Itchy and Dry Scalp Care with Salicylic Acid, Piroctone Olamine, Biotin, Rosemary, Coconut Oil","B0GL2T9QSZ","https://www.amazon.co.uk/dp/B0GL2T9QSZ?psc=1","https://m.media-amazon.com/images/I/71laOpg4JjL._AC_SY355_.jpg","Recuren Plus",21.66,"1,180","1,180",900,"26,986.15","26,986.15",190,"6,320","GB",6.88,2,4.7,261,8,27,"Regeneration Store","Beauty","Extra Large Envelope","FBA","21.50 x 5.20 x 5.50 cm",0.35,"N/A","Feb 2, 2026",,"No",4,"Regeneration Store"
27.,"Seborrheic Dermatitis & Psoriasis Scalp Shampoo: Folliculitis Shampoo, Anti-Dandruff Shampoo for Itchy, Redness-Prone Scalp, with Salicylic Acid, Sulfate-Free","B0GLQ3K3B2","https://www.amazon.co.uk/dp/B0GLQ3K3B2?psc=1","https://m.media-amazon.com/images/I/71QCJZbhIzL._AC_SY355_.jpg","Kopa Haiku",21.66,846,846,600,"21,993.32","21,993.32",158,"5,610","CN",6.88,1,4.8,266,7,45,"FreshLui","Beauty","Extra Large Envelope","FBA","19.70 x 5.50 x 5.50 cm",0.35,"N/A","Feb 5, 2026",,"No",4,"FreshLui"
28.,"Neutrogena T/Gel Scalp Relief Anti-Dandruff Shampoo (150ml) With 3% Salicylic Acid, Suitable for Those Prone to Scalp Psoriasis and Seborrhoeic Dermatitis","B0DW3XJTVJ","https://www.amazon.co.uk/dp/B0DW3XJTVJ?psc=1","https://m.media-amazon.com/images/I/61LO4LbU84L._AC_SY355_.jpg","Neutrogena",4.68,"6,863","6,863","5,000","41,180.23","41,180.23",154,71,"AMZ",2.94,13,4.5,821,6,66,"Amazon","Baby Products","Large Envelope","AMZ","16.00 x 3.40 x 5.60 cm",0.2,"N/A","Nov 25, 2024",,"No",19,"Amazon"
37.,"Oilatum Soothing Scalp Shampoo, For Itchy, Flaking Scalps Caused by Dandruff, Soothes Itchy Scalps, pH Balanced, 1 x 100ml","B001EASOJY","https://www.amazon.co.uk/dp/B001EASOJY?psc=1","https://m.media-amazon.com/images/I/61sGB4pc9KL._AC_SY355_.jpg","Oilatum",8.66,"1,889","1,889","1,000","19,624.25","19,624.23",122,"3,198","AMZ",4.3,9,4.6,"1,530",7,5,"Amazon","Beauty","Large Envelope","AMZ","15.30 x 3.20 x 7.20 cm",0.14,"N/A","Aug 14, 2008",,"No",214,"Amazon"
38.,"Eucerin DermoCapillaire Calming Urea Shampoo 250ml, Psoriasis and Dermatitis Shampoo for Dry, Itchy Scalp, Fragrance-Free, Moisturising with Urea, Lactate, Paraben- and Silicon-Free","B009P0V9UQ","https://www.amazon.co.uk/dp/B009P0V9UQ?psc=1","https://m.media-amazon.com/images/I/6176baICuVL._AC_SY355_.jpg","Eucerin",8.33,"2,161","2,250","1,000","23,775.26","24,753.89",181,"2,117","AMZ",5.16,25,4.5,"1,852",6,5,,"Beauty","Large Envelope","AMZ","19.30 x 3.00 x 6.90 cm",0.3,"N/A","Oct 11, 2012",,"No",164,
