"","Search Terms","SV","Relev.","Sugg. bid & range","Launch Score","B01MRHXM0I","B0D5DJBVCR","B00WMZMHPW","B09GDHSW99","B0DCNZVXTP","B0DGWQV8GK","B0D4DY85H3","B00E4GADNA","B09GD8T863","B0CJ3Z5TKN","B07WHKLYPW","B01JIRNEQW","B0GCCJFZ18"
"","fruit fly bait","543","0.9230769230769231","$0.92 | $0.70 - $1.15","2","1","7","3","19","2","103","4","11","29","8","30","44","39"
"","terro fruit fly traps","250","0.9230769230769231","$2.29 | $1.72 - $2.86","1","1","13","10","17","6","87","9","4","43","34","40","5","36"
"","fruit fly","11686","0.8461538461538461","$2.73 | $1.71 - $3.33","41","1","2","6","12","43","44","21","45","38","29","40","","78"
"","indoor fruit fly traps","692","0.8461538461538461","$4.78 | $3.15 - $5.69","2","1","3","17","15","38","33","41","9","36","","24","37",""
"","fruit fly traps indoor","250","0.8461538461538461","$3.10 | $2.33 - $3.88","1","1","3","8","14","29","28","31","5","25","51","18","41","119"
"","flypunch fruit fly trap","250","0.8461538461538461","$2.67 | $2.08 - $3.80","1","4","6","1","7","10","57","8","9","13","15","33","42","94"
"","fruit fly lure","250","0.8461538461538461","$1.91 | $1.43 - $2.39","1","2","11","4","21","3","100","6","14","43","1","22","27","93"
"","fruit fly trap for refrigerator","250","0.8461538461538461","$2.07 | $1.76 - $2.40","1","1","3","5","9","","29","27","6","23","34","20","30","78"
"","fruit fly trap terro","250","0.8461538461538461","$0.99 | $0.74 - $1.24","1","1","11","9","12","6","66","10","4","","23","22","5","34"
"","fruit fly traps for indoors terro","250","0.8461538461538461","$3.82 | $2.87 - $4.65","1","1","10","17","8","11","26","6","4","37","","29","5",""
"","fruitfly trap","250","0.8461538461538461","","1","1","3","8","6","47","39","31","5","29","26","21","46","37"
"","plunk fruit fly trap","250","0.8461538461538461","$5.09 | $3.82 - $6.06","1","2","4","12","9","11","35","117","27","33","29","32","39",""
"","terro fruit fly traps for indoors (4 pack) + 180 days of lure supply","250","0.8461538461538461","","1","1","8","26","11","13","14","10","4","31","","16","5",""
"","fruits fly traps","250","0.8461538461538461","$2.16 | $1.20 - $2.70","1","1","3","9","10","26","39","31","5","22","42","25","77","134"
"","fruit fly traps for","250","0.8461538461538461","$1.93 | $1.57 - $2.85","1","1","3","9","10","32","38","30","5","25","42","21","75","115"
"","fly fruit trap","250","0.8461538461538461","$1.81 | $1.61 - $2.40","1","1","3","8","14","28","22","36","5","29","","21","34","89"
"","fruit fly traps for indoors","96624","0.7692307692307693","$3.10 | $2.33 - $3.88","377","1","3","8","6","25","33","36","10","55","61","17","32","76"
"","fruit fly trap","38092","0.7692307692307693","$2.16 | $1.20 - $2.70","149","1","4","11","14","","40","37","5","31","30","24","46",""
"","fruit fly traps","8127","0.7692307692307693","$1.88 | $1.61 - $2.11","32","1","4","6","8","38","25","37","13","35","56","11","62",""
"","fruit flies trap","2446","0.7692307692307693","","10","1","3","20","12","44","31","33","8","38","","22","47","143"
"","liquid bait fruit fly traps indoor","949","0.7692307692307693","","4","1","5","6","","4","","11","3","46","15","27","13","20"
"","dr killigans fruit fly trap","250","0.7692307692307693","","1","3","8","19","14","38","23","","34","24","","27","40",""
"","fly trap liquid","250","0.7692307692307693","","1","2","8","1","7","3","21","5","20","17","9","","",""
"","fruit fly and gnat trap","250","0.7692307692307693","","1","1","4","28","7","","31","","33","43","","27","18","17"
"","fruit fly gnat traps for indoors","250","0.7692307692307693","","1","1","4","37","6","","36","","38","45","","39","15","25"
"","fruit fly apple","250","0.7692307692307693","","1","1","9","13","17","6","","18","3","36","117","5","8",""
"","fruit fly infestation","250","0.7692307692307693","","1","1","3","10","9","42","43","137","18","39","31","64","16","52"
"","fruit fly trap rsvp","250","0.7692307692307693","","1","3","6","9","5","21","40","","7","24","137","18","33",""
"","fruitfly traps","250","0.7692307692307693","","1","1","3","9","10","31","23","27","6","32","100","17","65","82"
"","get rid of fruit flies","250","0.7692307692307693","","1","1","3","8","4","45","43","96","41","42","68","57","26","25"
"","tero fruit fly trap","250","0.7692307692307693","","1","1","5","22","7","9","41","","3","32","","21","6",""
"","terro fruit fly traps for indoors","250","0.7692307692307693","","1","1","8","23","11","12","33","6","4","","","45","5",""
"","terro fruit fly refill liquid","250","0.7692307692307693","","1","1","35","9","44","3","","2","20","46","6","45","29",""
"","terro fruit fly","250","0.7692307692307693","","1","1","18","5","31","6","110","7","4","70","37","39","10","134"
"","fruit fly trap￼","250","0.7692307692307693","","1","1","2","8","9","13","52","","4","40","50","14","23","29"
"","amazon fruit fly trap","250","0.7692307692307693","","1","1","4","7","6","34","29","","12","45","","22","44","47"
"","apple cider vinegar fruit fly trap","250","0.7692307692307693","","1","1","3","5","","10","121","123","9","38","34","20","16","35"
"","disposable fruit fly traps for indoors","250","0.7692307692307693","","1","1","3","12","4","28","10","","5","41","","8","40",""
"","fly punch fruit fly trap","250","0.7692307692307693","","1","4","5","1","14","","26","","10","27","24","38","23","136"
"","fruit fly trap for indoor","250","0.7692307692307693","","1","2","9","12","20","43","42","29","23","15","","28","",""
"","fruit fly trap for indoors","250","0.7692307692307693","","1","1","5","13","16","39","33","40","10","26","64","21","54",""
"","fruit fly traps￼","250","0.7692307692307693","","1","1","2","6","8","13","47","","5","28","","12","25","41"
"","fruit flies","5435","0.6923076923076923","","24","1","3","9","13","45","43","32","93","37","35","68","75","84"
"","terro fruit fly trap","3859","0.6923076923076923","","17","1","9","13","21","7","93","15","4","","40","","5",""
"","fruit fly trap indoor","892","0.6923076923076923","","4","1","3","12","10","17","60","","5","16","74","53","15","40"
"","fruit fly repellent","583","0.6923076923076923","","3","1","6","18","5","28","35","116","22","39","34","64","46","75"
"","fruit fly traps for indoors refill","573","0.6923076923076923","","2","2","15","6","42","1","19","5","54","","10","28","",""
