Product Details,ASIN,Focus,URL,Image URL,Brand,Price  €,ASIN Revenue,BSR,Ratings,Review Count,Creation Date,Seller Age (mo)
"Pest Whisperer 2.0 – Ultrasonic Repellent for Professional Mice – Mice and Rat Repellent – Mouse Repellent – Anti Cockroaches, Ants – Combined Power 20 W – Non-Toxic – 2 Units",B0G7LQZ55Q,Ant,https://www.amazon.it/dp/B0G7LQZ55Q?psc=1,https://m.media-amazon.com/images/I/71GCJlmtkrL._AC_SY355_.jpg,WILD SOLUTION,29.99,"11,122.38",250,5,32,"Jan 26, 2026",2
"CIFO Nephorin - Insecticide Ants Cockroaches Spiders Wasps and Other Insects, Triple Sniding, Residual and Residual Action, Ideal for Disinfesting Domestic and Civil Environments, Made in Italy, 500",B00IEE3ICG,Ant,https://www.amazon.it/dp/B00IEE3ICG?psc=1,https://m.media-amazon.com/images/I/61LUlj9G4iL._AC_SY355_.jpg,CIFO,13.55,"6,111.12",267,4.6,"2,061","Feb 12, 2014",145
Baygon Insecticide Powder Cockroaches/Ants Gr. 250,B00CSM6FN4,Ant,https://www.amazon.it/dp/B00CSM6FN4?psc=1,https://m.media-amazon.com/images/I/81b6HJNWmmL._AC_SY355_.jpg,Baygon,4,"4,283.96","2,106",4.6,775,"Dec 11, 2019",75
"Ultrasonic for Mice, Ultrasonic Mosquito Repellent, Electromagnetic Ultrasonic Repellent, Effective Repellent for Mosquitoes, Mice, Ants, Flies, Spiders -100% Professional and Effective (Pack of 4)",B0FNHG4F59,Ant,https://www.amazon.it/dp/B0FNHG4F59?psc=1,https://m.media-amazon.com/images/I/61bK4pZTlbL._AC_SX355_.jpg,Queath,22.8,"4,052","5,207",5,28,"Jan 16, 2026",2
LERAVA Ant Insecticide Gel (2 x 10 g) – Powerful Bait to Eliminate Colonies – Anti Ants Safe for Home Family Animals – Ready to Use Gel for Maximum Effectiveness Indoor Outdoor,B0CT3P4SJ9,Ant,https://www.amazon.it/dp/B0CT3P4SJ9?psc=1,https://m.media-amazon.com/images/I/71BwaVCT1PL._AC_SY355_.jpg,LERAVA,19.99,"3,915.92",43,4.2,"1,035","Jan 23, 2024",26
"Protect Home Forminix Box, Ant Poison in Gel Box Ready to Use Effective, Eliminates Nest in a Short Time Ideal for Indoor and Outdoor Environments 3+1 Box",B0CLWLBGPN,Ant,https://www.amazon.it/dp/B0CLWLBGPN?psc=1,https://m.media-amazon.com/images/I/81ldZzyUAYL._AC_SY355_.jpg,PROTECT HOME,10,"3,807.32",205,3.8,"1,058","Oct 30, 2023",29
Zapi Garban Concentrate Insecticide Lt.1,B01DVZ8K8Y,Ant,https://www.amazon.it/dp/B01DVZ8K8Y?psc=1,https://m.media-amazon.com/images/I/51EVKzrPowL._AC_SY355_.jpg,ZAPI,29.9,"3,256.51",796,4.3,"1,786","Apr 6, 2016",119
SWISSINNO Anti Ant Tape for Crawling Insects 5cm x 5m - Natural Tree Protection | Ant Tape | Easy Application - 3 Months Lasting,B075Y2N7WX,Ant,https://www.amazon.it/dp/B075Y2N7WX?psc=1,https://m.media-amazon.com/images/I/71Cg2ndfxnL._AC_SY355_.jpg,SWISSINNO,9.78,"2,658.96",378,4,"1,184","May 4, 2021",58
Vape Ants Insecticide Eliminates Whole Nest and Cologne Duration 3 Months for Indoor and Outdoor Environments Biocide Product – 16 Baits,B0F99Y9STK,Ant,https://www.amazon.it/dp/B0F99Y9STK?psc=1,https://m.media-amazon.com/images/I/81KYfpknFvL._AC_SY355_.jpg,Eurocali,28.9,"2,345.17","3,776",3.9,12,"May 23, 2025",10
"10 Pack Ultrasonic Repellent for Mice, Professional Ultrasonic Mosquito Repellent, Effective Against Ants, Flies, Insects, Cockroaches, Mice, Mosquitoes, Spiders, Human & Pet Friendly",B0DCFRG2N4,Ant,https://www.amazon.it/dp/B0DCFRG2N4?psc=1,https://m.media-amazon.com/images/I/71YWiDHvVkL._AC_SY355_.jpg,Electri-HQ,19.99,"2,062.43","9,437",3.6,70,"Aug 19, 2024",19
