Product Details,ASIN,Focus,URL,Image URL,Brand,Price  €,ASIN Revenue,BSR,Ratings,Review Count,Creation Date,Seller Age (mo)
"Ultrasonic Indoor Pest Repeller - Pack of 2 - Covers 140m2 per Device - 3 Modes - Repels Mice, Rats, Spiders, Mosquitos, Ants, Insects & Flies",B0FN11ZG3X,Ant,https://www.amazon.es/dp/B0FN11ZG3X?psc=1,https://m.media-amazon.com/images/I/71n+ft6fvbL._AC_SY355_.jpg,REPELIX ARMOUR,36.99,"14,001.48",180,4.2,694,"Sep 18, 2025",6
Raid ® Baits - Ant Trap - Kills Whole Ant Colony - Effective for Indoor and Outdoor - 1 Count (Pack of 1),B082VTLJLC,Ant,https://www.amazon.es/dp/B082VTLJLC?psc=1,https://m.media-amazon.com/images/I/61WVnl5-2hL._AC_SY355_.jpg,Raid,4.74,"6,969.71",10,4,"2,727","Jan 14, 2020",74
Ant Bait Gel Format for Indoor and Outdoor Fast Acting Highly Attractive 4g,B00L1FKC4C,Ant,https://www.amazon.es/dp/B00L1FKC4C?psc=1,https://m.media-amazon.com/images/I/81eRzmM6VrL._AC_SY355_.jpg,PROTECT HOME,7.6,"6,869.99",15,4.2,"2,001","Mar 23, 2015",132
ZOTAL Anti-Ant Gel – Pack of 2 – Insecticide in Syringe Delayed Effect to Eliminate Colonies and Nests,B07S2XGN1X,Ant,https://www.amazon.es/dp/B07S2XGN1X?psc=1,https://m.media-amazon.com/images/I/71gDmlqZQ4L._SX342_.jpg,Zotal,17.9,"5,071.62",106,4.2,"3,024","May 20, 2019",82
COMPO Ant Granulated Fast and Effective Acting 500 g,B00V4PB478,Ant,https://www.amazon.es/dp/B00V4PB478?psc=1,https://m.media-amazon.com/images/I/71kj4sALt3L._AC_SX355_.jpg,Compo,8.49,"3,826.80",82,4.4,590,"Mar 23, 2015",132
"COMPO Anti-Ant Gun, Spray Bottle, Suitable for Home, Home and Garden, Long-Lasting Effect, 750 ml",B096XKFT3S,Ant,https://www.amazon.es/dp/B096XKFT3S?psc=1,https://m.media-amazon.com/images/I/61EKUqpOFPS._SY445_.jpg,Compo,10.15,"3,550.63",221,4.4,411,"Jun 9, 2021",57
"RepellShield® Natural Ant Spray – 250 ml – Indoor and Outdoor Ant Repellent – Durable Protective Barrier for Kitchen, Terrace and Garden – Easy to Apply, No Stain, No Residue",B08DD963L4,Ant,https://www.amazon.es/dp/B08DD963L4?psc=1,https://m.media-amazon.com/images/I/71cpeGn9j+L._AC_SY355_.jpg,RepellShield,13.99,"3,221.69",283,3.8,"2,181","Apr 22, 2021",59
"PROTECT HOME Granulated Ant Bait, Removes Ants Finally, Ideal for Outdoors.",B00GXL8RAK,Ant,https://www.amazon.es/dp/B00GXL8RAK?psc=1,https://m.media-amazon.com/images/I/71gytZjWrxL._AC_SY355_.jpg,PROTECT HOME,10.9,"3,087.12",208,4,"2,046","Jul 5, 2015",128
Raid Baits - Ant Traps - Removes Whole Ant Cologne - Effective Indoor & Outdoor - 2 Packs,B07RGNYWPF,Ant,https://www.amazon.es/dp/B07RGNYWPF?psc=1,"https://m.media-amazon.com/images/I/71bjcHP4XNL._AC_SX355_PIbundle-2,TopRight,0,0_SH20_.jpg",Raid,9.48,"2,561.85",38,4,688,"May 7, 2019",82
Cucal Insecticide Ant Trap (2 x 4 Pack) - Insecticide Trap for Killing Common Ants - Kills Ants to Eradicate Colony - Effective for 3 Months,B088HW9T8H,Ant,https://www.amazon.es/dp/B088HW9T8H?psc=1,"https://m.media-amazon.com/images/I/81ngri94KdL._AC_SY355_PIbundle-4,TopRight,0,0_SH20_.jpg",Cucal,17.8,"2,528.43","1,294",3.2,355,"Apr 29, 2020",71
"SWISSINNO Anti-Form Tape for Crawling Insects 5 cm x 5 m – Tree Protection | Ant Tape | Easy Use, Duration 3 Months",B075Y2N7WX,Ant,https://www.amazon.es/dp/B075Y2N7WX?psc=1,https://m.media-amazon.com/images/I/71Cg2ndfxnL._AC_SY355_.jpg,SWISSINNO,9.78,"2,517.66",154,3.8,"1,177","May 19, 2021",58
"Ant Trap Pack of 4 – Ant Killer with Ant Bait for Indoor and Outdoor, Anti-Ant Eliminates Cologne and Queen, Effective and Ready to Use",B0DVJBB8M1,Ant,https://www.amazon.es/dp/B0DVJBB8M1?psc=1,https://m.media-amazon.com/images/I/81iTiJ8yYvL._AC_SY355_.jpg,Super Ninja,11.99,"2,442.45",356,3.6,179,"Jan 30, 2025",14
Raid Baits - Ant Traps - Eliminates the Whole Ant Colony - Effective Indoors and Outdoors - Pack of 4 Baits,B0B1QMD33V,Ant,https://www.amazon.es/dp/B0B1QMD33V?psc=1,https://m.media-amazon.com/images/I/61shD+AILlL._AC_SY355_.jpg,Raid,20.95,"2,246.44",38,4,688,"May 20, 2022",46
"Zelnova Zeltia Insecticide Powder | Authorized for Home Use | Effective Against All Types Insects Cockroaches, Bed Bugs, Ants, Fleas | System of Application in Sink| Content 250 g",B00L2IJACS,Ant,https://www.amazon.es/dp/B00L2IJACS?psc=1,https://m.media-amazon.com/images/I/71Hhp-lUdxL._AC_SY445_.jpg,Zelnova Zeltia,3.35,"2,205.60",47,4.3,"1,236","Apr 28, 2015",131
Ants | Professional Efficacy | Syringe 10g Ecopack | 1 unit | Cardboard Box (4301),B089WFTMWT,Ant,https://www.amazon.es/dp/B089WFTMWT?psc=1,https://m.media-amazon.com/images/I/71wcN6MExiL._SX342_.jpg,ECOGEL,7.5,"2,066.36",181,4.2,758,"Jun 9, 2020",69
"Ultrasonic Pest Repeller, Ultrasonic Mosquito Repellent and Electronic Control, Anti Mice, Flies, Cockroaches, Spiders, Ants, Harmless to Pets and Humans - (4 Pack)",B0G62LXD7G,Ant,https://www.amazon.es/dp/B0G62LXD7G?psc=1,https://m.media-amazon.com/images/I/61R+WCO2waL._AC_SY355_.jpg,Queath,19.9,"1,947.28",625,4.7,31,"Jan 31, 2026",2
"Flower - Ant Insecticide in Syringe 10 g, Removes Anthills, Delayed Effect, Kills Queen, Bait Gel Ants, Practical and Effective - Size: 14.5 x 2.5 x 23 cm",B00GXKDTI6,Ant,https://www.amazon.es/dp/B00GXKDTI6?psc=1,https://m.media-amazon.com/images/I/71hPxQUHVGL._AC_SY355_.jpg,Flower,5.9,"1,759.07",284,4.1,"1,871","Aug 31, 2014",139
"Protect Home Anti-Ant Gel Bait Indoor Bait, Fast Acting and Highly Attractive, 4 Gram (Pack of 3)",B07P82K2X3,Ant,https://www.amazon.es/dp/B07P82K2X3?psc=1,https://m.media-amazon.com/images/I/51UqqOc+OjL._AC_SY355_.jpg,PROTECT GARDEN,23,"1,731.43","2,763",4,286,"Feb 28, 2019",85
"Cucal Insecticide Spray Fulminant Against Cockroaches, Ants and Their Eggs (1 x 750 ml) Insecticide for Crawling Insects Kills and Dries in Seconds, Leaves No Residue",B00L7VHI6K,Ant,https://www.amazon.es/dp/B00L7VHI6K?psc=1,https://m.media-amazon.com/images/I/51Pf4Ttnx-L._AC_SY355_.jpg,Cucal,8.99,"1,691.20",561,4.4,249,"Apr 5, 2016",119
Killer Insecticide Powder - 1 kg,B08422JKYH,Ant,https://www.amazon.es/dp/B08422JKYH?psc=1,https://m.media-amazon.com/images/I/614P78IR9IL._AC_SY355_.jpg,IMPEX EUROPA,14.16,"1,522.25","1,239",4.3,320,"Jan 19, 2020",74
Protect Home Ant Killer Granules - Ideal for Outdoor Use - Pack of 2 and Gardening Gloves,B07T6BNZWW,Ant,https://www.amazon.es/dp/B07T6BNZWW?psc=1,https://m.media-amazon.com/images/I/81ceSm3KyfL._AC_SY355_.jpg,PROTECT HOME,19.85,"1,308.39",208,4,"2,046","Jun 16, 2019",81
Remi Hogar Ant Gel Plus | Insecticide Gel Anti-Ant Syringe | Insecticide Bait Ready to Use | Removes Ants and Ant | Indoor Use | High Efficiency | Home Use,B09NDTZFCG,Ant,https://www.amazon.es/dp/B09NDTZFCG?psc=1,https://m.media-amazon.com/images/I/519KWKEZEvL._AC_SY355_.jpg,Remi Hogar,9.98,"1,284.83",721,4,330,"Dec 10, 2021",51
"COMPO Ant resistant, granulated dusting format, for indoor and outdoor use, long-lasting effect, 300 g",B00V4PB89W,Ant,https://www.amazon.es/dp/B00V4PB89W?psc=1,https://m.media-amazon.com/images/I/71IIDE9SmyL._SY445_.jpg,Compo,10.6,"1,265.27","1,152",4.2,881,"Aug 1, 2017",103
Ant Traps 2x2g DX3 GEL Effective Up to 3 Months Indoor and Outdoor | Effective Insecticide Bait | Eliminates Nests in 2 Weeks | Indoor and Outdoor Use | Imidacloprid 0.02% | Nexum Market,B0FDL54HCJ,Ant,https://www.amazon.es/dp/B0FDL54HCJ?psc=1,https://m.media-amazon.com/images/I/716vkp361iL._SX342_.jpg,Nexum Market,11.49,"1,194.74","1,107",4.8,8,"Jun 18, 2025",9
ZOTAL Anti-Ant Gel – Pack of 3 – Insecticide in Syringe Delayed Effect to Eliminate Colonies and Nests,B0BS9PFMLF,Ant,https://www.amazon.es/dp/B0BS9PFMLF?psc=1,https://m.media-amazon.com/images/I/71tRmz1JR2L._SX342_.jpg,Zotal,26.9,"1,070.23",106,4.2,"3,024","Jan 13, 2023",38
NOVACLAC F3 Ant Killer – 500 ml Professional Insecticide Spray PT18 – Removes Ants Instantly – Long Lasting Protection – Indoor and Outdoor Use – European Quality Formulated for Spain,B0FVXSY9JB,Ant,https://www.amazon.es/dp/B0FVXSY9JB?psc=1,https://m.media-amazon.com/images/I/81HyQ+WaJ+L._AC_SY355_.jpg,Panteer,17.95,"1,050.92","2,120",5,2,"Nov 7, 2025",4
"Ultrasonic Pest Repeller, 4 Pack Electronic Mosquito Repellent Pest Control, Ultrasonic Mosquito Repellent Anti Flies, Mice, Insects, Ants, Spiders",B0GQLPTFV5,Ant,https://www.amazon.es/dp/B0GQLPTFV5?psc=1,https://m.media-amazon.com/images/I/61eUtVNweRL._AC_SY355_.jpg,RUTIDA,22.69,998.18,"1,309",5,16,"Mar 5, 2026",0
"ORO Crawling Insecticide - Against Cockroaches, Ants and Other Crawling Bugs - Action in Seconds and Maximum Efficacy - For Indoor and Outdoor - Permanent up to 1 Year - 750ml",B01IVHH1UU,Ant,https://www.amazon.es/dp/B01IVHH1UU?psc=1,https://m.media-amazon.com/images/I/61m840xU4hL._AC_SY355_.jpg,ORO,5.69,990.2,463,4.3,384,"Jul 22, 2016",116
ANTI ANT SYRINGE GEL ORION,B0C6BJS5LP,Ant,https://www.amazon.es/dp/B0C6BJS5LP?psc=1,https://m.media-amazon.com/images/I/41y0ZN5BYmL._SX342_.jpg,Orion,7.53,976.5,"1,003",4.1,41,"Sep 24, 2020",66
"Paparrin DP 750 g – Masso Insecticide Against All Types of Ants, Bed Bugs, Fleas and Cockroaches.",B0D8181R3R,Ant,https://www.amazon.es/dp/B0D8181R3R?psc=1,https://m.media-amazon.com/images/I/51djt3f1ILL._SX342_.jpg,MASSO,10.89,940.31,"1,179",4.3,68,"Jun 21, 2023",33
"Compo Ant Control Bait Indoor Home and Around Buildings, Decks and Patios - 2 Pack of 4.8g",B00V4PRWTC,Ant,https://www.amazon.es/dp/B00V4PRWTC?psc=1,https://m.media-amazon.com/images/I/51RqicGabIL._AC_SX355_.jpg,Compo,6.95,938.46,903,3.6,522,"Apr 15, 2016",119
