"Time","Sales","Trend Line","7-Day Moving Average"
"2025-07-26 01:00:00",4297.92,3972.064114886952,4286.76
"2025-07-27 01:00:00",4135.96,,4217.35
"2025-07-28 01:00:00",4543.74,,4275.61
"2025-07-29 01:00:00",4135.96,,4217.35
"2025-07-30 01:00:00",4135.96,,4194.21
"2025-07-31 01:00:00",4135.96,,4185.62
"2025-08-01 01:00:00",4135.96,,4175.11
"2025-08-02 01:00:00",4135.96,,4175.11
"2025-08-03 01:00:00",4075.77,,4214.25
"2025-08-04 01:00:00",4470.18,,4262
"2025-08-05 01:00:00",0,,3614.8
"2025-08-06 01:00:00",4470.18,,4244.8
"2025-08-07 01:00:00",4075.77,,4105.7
"2025-08-08 01:00:00",4075.77,,3966.61
"2025-08-09 01:00:00",4075.77,,3883.85
"2025-08-10 01:00:00",3496.49,,3744.75
"2025-08-11 01:00:00",3496.49,,3662
"2025-08-12 01:00:00",3496.49,,3579.24
"2025-08-13 01:00:00",3496.49,,3496.49
"2025-08-14 01:00:00",3496.49,,3506.5
"2025-08-15 01:00:00",3496.49,,3516.51
"2025-08-16 01:00:00",3496.49,,3526.52
"2025-08-17 01:00:00",3566.56,,3536.53
"2025-08-18 01:00:00",3566.56,,3546.54
"2025-08-19 01:00:00",3566.56,,3556.55
"2025-08-20 01:00:00",3566.56,,3566.56
"2025-08-21 01:00:00",3566.56,,3572.74
"2025-08-22 01:00:00",3566.56,,3578.91
"2025-08-23 01:00:00",3566.56,,3585.09
"2025-08-24 01:00:00",3609.79,,3547.77
"2025-08-25 01:00:00",3609.79,,3553.95
"2025-08-26 01:00:00",3609.79,,3560.12
"2025-08-27 01:00:00",3305.36,,3566.3
"2025-08-28 01:00:00",3609.79,,3552.38
"2025-08-29 01:00:00",3609.79,,3538.47
"2025-08-30 01:00:00",3609.79,,3480.09
"2025-08-31 01:00:00",3512.38,,3465.2
"2025-09-01 01:00:00",3512.38,,3406.82
"2025-09-02 01:00:00",3201.14,,3348.44
"2025-09-03 01:00:00",3201.14,,3290.07
"2025-09-04 01:00:00",3201.14,,3110.6
"2025-09-05 01:00:00",3201.14,,2931.14
"2025-09-06 01:00:00",3201.14,,2823.32
"2025-09-07 01:00:00",2256.14,,2715.49
"2025-09-08 01:00:00",2256.14,,2607.67
"2025-09-09 01:00:00",2446.38,,2499.85
"2025-09-10 01:00:00",2446.38,,2424.21
"2025-09-11 01:00:00",2446.38,,2446.71
"2025-09-12 01:00:00",2446.38,,2469.21
"2025-09-13 01:00:00",2671.69,,2464.53
"2025-09-14 01:00:00",2413.63,,2459.85
"2025-09-15 01:00:00",2413.63,,2455.17
"2025-09-16 01:00:00",2413.63,,2450.5
"2025-09-17 01:00:00",2413.63,,2413.63
"2025-09-18 01:00:00",2413.63,,2405.39
"2025-09-19 01:00:00",2413.63,,2397.15
"2025-09-20 01:00:00",2413.63,,2388.91
"2025-09-21 01:00:00",2355.94,,2380.66
"2025-09-22 01:00:00",2355.94,,2372.42
"2025-09-23 01:00:00",2355.94,,2364.18
"2025-09-24 01:00:00",2355.94,,2355.94
"2025-09-25 01:00:00",2355.94,,2458.95
"2025-09-26 01:00:00",2355.94,,2561.96
"2025-09-27 01:00:00",2355.94,,2664.97
"2025-09-28 01:00:00",3077,,2767.97
"2025-09-29 01:00:00",3077,,2870.98
"2025-09-30 01:00:00",3077,,2973.99
"2025-10-01 01:00:00",3077,,3077
"2025-10-02 01:00:00",3077,,3206.43
"2025-10-03 01:00:00",3077,,3335.87
"2025-10-04 01:00:00",3077,,3465.3
"2025-10-05 01:00:00",3983.03,,3594.73
"2025-10-06 01:00:00",3983.03,,3674.99
"2025-10-07 01:00:00",3983.03,,3755.25
"2025-10-08 01:00:00",3983.03,,3835.52
"2025-10-09 01:00:00",3638.83,,3683.34
"2025-10-10 01:00:00",3638.83,,3531.16
"2025-10-11 01:00:00",3638.83,,3378.98
"2025-10-12 01:00:00",2917.77,,3226.8
"2025-10-13 01:00:00",2917.77,,3123.79
"2025-10-14 01:00:00",2917.77,,3020.78
"2025-10-15 01:00:00",2917.77,,2917.77
"2025-10-16 01:00:00",2917.77,,2935.03
"2025-10-17 01:00:00",2917.77,,2952.29
"2025-10-18 01:00:00",2917.77,,2969.55
"2025-10-19 01:00:00",3038.58,,2986.8
"2025-10-20 01:00:00",3038.58,,3004.06
"2025-10-21 01:00:00",3038.58,,3021.32
"2025-10-22 01:00:00",3038.58,,3038.58
"2025-10-23 01:00:00",3038.58,,2993.36
"2025-10-24 01:00:00",3038.58,,2948.14
"2025-10-25 01:00:00",3038.58,,2902.92
"2025-10-26 01:00:00",2722.05,,2857.71
"2025-10-27 00:00:00",2722.05,,2812.49
"2025-10-28 00:00:00",2722.05,,2767.27
"2025-10-29 00:00:00",2722.05,,2722.05
"2025-10-30 00:00:00",2722.05,,2717.89
"2025-10-31 00:00:00",2722.05,,2713.73
