asin,brand,revenue,is_shampoo,segment,confidence,product_type,evidence,title
B00WN2BY7G,VICHY,139159,Y,Irritated / Atopic,H,champú,Champú Anticaspa; combate la caspa persistente; alivia picores; formulado para cuero cabelludo sensible,"Vichy Dercos Technique Anti-Dandruff Shampoo, Oily Hair, Eliminates Dandruff and"
B09FTGJT22,KÉRASTASE,38890,Y,,M,champú,Champú Equilibrante Para Raíces Grasas y Cabello Sensible (sensibilizado/graso) — sin claim de cuero cabelludo irritado/atópico,Kérastase Spécifique Balancing Detangling Shampoo for Oily Roots and Sensitive H
B07GL8W9VK,ISDIN,34104,Y,Irritated / Atopic,H,champú,Champú para Caspa Grasa; Reduce el exceso de sebo; alivia el picor y reduce la caspa,ISDIN Nutradeica Oily Dandruff Shampoo 400ml
B01BPHAD1W,VICHY,32270,Y,Irritated / Atopic,H,champú,Champú Anticaspa cabello seco; combate la caspa persistente; alivia picores; formulado para cuero cabelludo sensible,"Vichy Dercos Technique Dercos Technique Anti-Dandruff Shampoo, Dry Hair, Elimina"
B004SBLR4U,VICHY,27541,Y,,M,champú,Champú Anticaída Efecto Estimulante; combate la caída del cabello — sin marco de cuero cabelludo sensible/irritado,"Vichy Champú Anticaída, Efecto Estimulante, Apto Para Todo Tipo de Cabello, Cuer"
B0F1FXH4X1,VICHY,24620,Y,Irritated / Atopic,H,champú,Champú Anticaspa; Elimina la Caspa y Reduce los Picores; Antipicazón,Vichy Dercos Technique Dercos Technique Refill 390 ml
B082S3GNPJ,ISDIN,22951,Y,Irritated / Atopic,H,champú,Psorisdin antidescamación; alivia el picor de psoriasis; reduce rojeces; cuero cabelludo sensible,"ISDIN Psorisdin Anti-flaking Shampoo, Anti-flaking Shampoo that Helps Relieve It"
B09GRM5X73,VICHY,20475,Y,Irritated / Atopic,H,champú,Champú para cuero cabelludo con psoriasis; cueros cabelludos con tendencia escamosa y psoriásica; alivia el picor,Vichy Dercos Technique Dercos Technique Psolution Shampoo for Scalp with Psorias
B07ZRQDL76,SEBAMED,17991,Y,Irritated / Atopic,H,champú,Champú Anticaspa; Reduce el picor e irritación del cuero cabelludo sensibilizado,SEBAMED Shampoo
B00IVIMVFK,La Roche-Posay,16468,Y,Irritated / Atopic,H,champú,Kerium Extra Suave para cuero cabelludo sensible; calma la piel sensible e irritada; cueros cabelludos sensibles con tendencia a la caspa,"La Roche Posay, Kerium Extra Soft Physiological Shampoo Gel, Soothes Scalp, Enri"
B01HYOB0LC,KÉRASTASE,14340,Y,Irritated / Atopic,H,champú,Champú Hidro-Calmante para Cuero Cabelludo Seco o Sensible; reduce la irritación,KÉRASTASE SPECIFIQUE & BAIN Vital DERMO-CALM Shampoo 250 ml
B0CRZD26L9,Head & Shoulders,12556,Y,Irritated / Atopic,H,champú,Champú Anticaspa Anticaída ... Calma el picor; Alivia el cuero cabelludo; reequilibra el cuero cabelludo,"H&S Pro-Expert 7 Anti-Dandruff Shampoo 800ml with Caffeine, Fights 7 Symptoms of"
B00GY25AH6,ISDIN,12490,Y,Irritated / Atopic,H,champú,Zincation Champú Anticaspa; Piroctona Olamina y Zinc; propiedades antimicrobianas,"ISDIN Zincation Anti-Dandruff Shampoo, Cleaning And Care Of Hair And Scalp With "
B00D3HR76M,ISDIN,11818,Y,Irritated / Atopic,H,champú,Psorisdin antidescamación; alivia el picor de psoriasis; reduce rojeces; Anti-itch Technology,"ISDIN Psorisdin Anti-flaking Shampoo, Anti-flaking Shampoo that Helps Relieve It"
B0CH9DKHSC,Wella Professionals,11448,Y,Irritated / Atopic,H,champú,Champú Purificante para Cuero cabelludo sensible; alivia suavemente los cueros cabelludos sensibles; con alantoína,Wella Professionals INVIGO BALANCE PURE - Champú Purificante para Cuero cabellud
B09GG99BX3,Urtekram,11360,Y,Irritated / Atopic,H,champú,Champú Sin Perfume – Cuidado Cuero Cabelludo Sensible – Hipoalergénico; ayuda a equilibrar y calmar su cuero cabelludo sensible,Urtekram Unscented Shampoo - Sensitive Scalp Care - 500ml - Organic and Vegan wi
B00J5FZXX0,ISDIN,10361,Y,Irritated / Atopic,H,champú,Champú Anticaspa Seca; Reduce la caspa y Alivia el Picor del Cuero Cabelludo,"Isdin Nutradeica Anti-Dandruff Dry Shampoo, Reduces Dandruff and Relieves Scalp "
B0019YN81E,Urtekram,10333,Y,Irritated / Atopic,H,champú,Cuidado calmante para los cueros cabelludos irritados y sensibles; para cuero cabelludo sensible,Urtekram Tea Tree Shampoo for Irritated Scalp 500 ml - Natural and Organic Sooth
B00HR4KUAC,Sebamed,8951,Y,Irritated / Atopic,H,champú,fórmula extra-suave para cuero cabelludo sensible; preserva la función de barrera natural del cuero cabelludo,Sebamed Ultra Soft Shampoo 400ml - Shampoo with extra-gentle hair care formula f
B01D5AP786,VICHY,8346,Y,Irritated / Atopic,H,champú,Champú Ultracalmante; Alivia el Cuero Cabelludo Sensible; Anti-irritación,"Vichy Dercos Technique Ultra Soothing Shampoo Soothes Sensitive Scalp, Nourishes"
