Display Order,Product Details,ASIN,URL,Image URL,Brand,Price  US$,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  US$,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller,Source Keywords
1.,"Zevo Flying Insect Trap & Cartridge - Plug in Fly Trap & Indoor Bug Catcher for Gnats, House & Fruit Flies - Mess-Free - Use in Any Room - Uses Blue & UV Light (1 Plug in Device & 1 Cartridge)",B07T869RNY,https://www.amazon.com/dp/B07T869RNY?psc=1,https://m.media-amazon.com/images/I/81AnvlATCkL._AC_SY355_.jpg,,17.97,"122,192","39,232","30,000","3,301,924.44","709,041.16",192,3,US,7.46,2,4.3,"79,275",9,N/A,Front Row CPG,"Patio, Lawn & Garden",Large Standard-Size,FBA,7.13 x 3.35 x 4.57 in,0.35,N/A,"Jun 20, 2019",Sponsored Brand,No,83,Front Row CPG,plug in fly trap | flying insect trap
2.,"Zevo Flying Insect Trap & 3 Refill Cartridges - Plug in Fly Trap & Indoor Bug Catcher for Gnats, House & Fruit Flies - Blue & UV Light Technology, Mess-Free Alternative to Bug Zapper",B0CKY689WQ,https://www.amazon.com/dp/B0CKY689WQ?psc=1,https://m.media-amazon.com/images/I/81oM9Fx8QaL._AC_SY355_.jpg,,25.96,"122,192","75,369","80,000","3,301,924.44","1,909,399.2",182,3,US,9.65,12,4.3,"79,275",9,"1,673",Front Row CPG,"Patio, Lawn & Garden",Large Standard-Size,FBA,7.24 x 4.57 x 6.81 in,0.42,N/A,"Oct 19, 2023",Sponsored Brand,No,31,Front Row CPG,plug in fly trap | flying insect trap | fruit fly trap
3.,"Zevo 2 Flying Insect Traps & 2 Refill Cartridges - Plug in Fly Trap & Indoor Bug Catcher for Gnats, House & Fruit Flies - Blue & UV Light Technology, Mess-Free Alternative to Bug Zapper",B0C3PDTYYX,https://www.amazon.com/dp/B0C3PDTYYX?psc=1,https://m.media-amazon.com/images/I/81uxQ4MUSlL._AC_SY355_.jpg,,37.47,"52,976","36,657","20,000","2,182,818.32","1,373,547.03",185,12,US,11.46,1,4.4,"32,670",9,557,Front Row CPG,"Patio, Lawn & Garden",Large Standard-Size,FBA,9.88 x 4.76 x 7.44 in,0.66,N/A,"May 2, 2023",Sponsored Brand,No,36,Front Row CPG,plug in fly trap | flying insect trap | fruit fly trap
11.,"Safer Home Indoor Plug-In Fly Trap - SH502 - Effective Fruit Fly Traps for Indoors, Gnat Traps for House Indoor, 400 Sq Ft Protection - Style: 1 Device + 2 Glue Cards",B09T3T1FYN,https://www.amazon.com/dp/B09T3T1FYN?psc=1,https://m.media-amazon.com/images/I/71PsCvDvipL._AC_SY355_.jpg,,12.99,"30,965","7,801","10,000","465,548.26","99,198.41",166,19,AMZ,6.74,8,4.2,"38,122",8,N/A,Amazon,"Patio, Lawn & Garden",Large Standard-Size,AMZ,6.61 x 2.36 x 4.29 in,0.29,N/A,"Feb 28, 2022",,No,51,Amazon,plug in fly trap | flying insect trap | fruit fly trap
22.,"Safer Home Indoor Plug-in Fly Trap - SH502-2SR - Effective Fruit Fly Traps for Indoors, Gnat Traps for House Indoor, 800 Total Sq Ft Protection - 2 Devices + 2 Glue Cards",B0CQ8RSTDW,https://www.amazon.com/dp/B0CQ8RSTDW?psc=1,https://m.media-amazon.com/images/I/81RI2s+ahLL._AC_SY355_.jpg,,30.18,"30,965","7,324","6,000","465,548.26","187,707.54",170,19,AMZ,7.95,4,4.4,"5,716",8,N/A,Amazon,"Patio, Lawn & Garden",Large Standard-Size,AMZ,5.35 x 3.11 x 5.35 in,0.6,N/A,"Feb 6, 2024",,No,27,Amazon,plug in fly trap
23.,"TIENBE Flying Insect Trap, 2 in 1 Indoor Plug-in Fruit Fly Trap, 1 Trap White and 6 Glue Cards, Fruit Fly Traps for Gnat, Moth, Mosquito, Suitable for Every Part of The Home",B0CZNQ53H4,https://www.amazon.com/dp/B0CZNQ53H4?psc=1,https://m.media-amazon.com/images/I/718sq3hBKmL._AC_SY355_.jpg,TIENBE,8.99,"17,285","12,305","9,000","206,351.68","120,332.97",173,139,US,4.36,2,4.1,"4,296",9,143,TIENBE LLC,"Patio, Lawn & Garden",Large Standard-Size,FBA,4.65 x 1.34 x 2.44 in,0.22,N/A,"May 24, 2024",,No,24,TIENBE LLC,plug in fly trap | flying insect trap | fruit fly trap
28.,"Zevo 2 Flying Insect Traps & 4 Refill Cartridges - Plug in Fly Trap & Indoor Bug Catcher for Gnats, House & Fruit Flies - Blue & UV Light Technology, Mess-Free Alternative to Bug Zapper",B0CKY5N63H,https://www.amazon.com/dp/B0CKY5N63H?psc=1,https://m.media-amazon.com/images/I/815OU+3uq7L._AC_SY355_.jpg,,45.97,"52,976","11,751","10,000","2,182,818.32","522,478.05",185,12,US,13.75,10,4.4,"32,670",9,544,Front Row CPG,"Patio, Lawn & Garden",Large Standard-Size,FBA,9.13 x 4.69 x 7.24 in,0.77,N/A,"Oct 19, 2023",,No,31,Front Row CPG,plug in fly trap | flying insect trap
29.,"Safer Home Indoor Plug-in Fly Trap - SH502-2R4SR - Effective Fruit Fly Traps for Indoors, Gnat Traps for House Indoor, 400 Sq Ft Protection - Style: 2 Devices + 4 Glue Cards",B0DK2DSCQ2,https://www.amazon.com/dp/B0DK2DSCQ2?psc=1,https://m.media-amazon.com/images/I/817nS1xaxXL._AC_SY355_.jpg,,24.92,"2,894","1,391",900,"57,617.34","30,556.59",173,"6,482",AMZ,9.8,2,4.5,"1,870",8,25,Amazon,"Patio, Lawn & Garden",Large Standard-Size,AMZ,9.80 x 3.15 x 6.22 in,0.73,N/A,"Nov 9, 2024",,No,18,Amazon,plug in fly trap
30.,"LFSYS 2 Pcs Fruit Fly Traps for Indoors (2 Device+10 Refills) Plug in UV Light Fly Trap for Gnats, Fruit Flies, Flying Insects Sleek Design Indoor Safe",B0D795SPZD,https://www.amazon.com/dp/B0D795SPZD?psc=1,https://m.media-amazon.com/images/I/71TMuFeN1sL._AC_SY355_.jpg,LFSYS,14.39,"14,138","4,692","3,000","179,556.84","72,402.69",151,125,US,6.25,1,4.4,"2,451",6,160,us-garden life,"Patio, Lawn & Garden",Large Standard-Size,FBA,4.21 x 1.85 x 3.23 in,0.33,N/A,"Jul 1, 2024",,No,22,us-garden life,plug in fly trap | fruit fly trap
31.,"Zevo Flying Insect Trap Official Refill Cartridges - Fits Both Zevo Trap & MAX Indoor Fly Trap - Authentic Trap+Lock Technology to Catch Gnats, House & Fruit Flies (4 Official Refill Cartridges)",B0C3FTCYZL,https://www.amazon.com/dp/B0C3FTCYZL?psc=1,https://m.media-amazon.com/images/I/81uXJAVhd1L._AC_SY355_.jpg,,14.97,"181,758","88,044","90,000","3,211,717.44","1,296,918.63",194,2,US,7.01,10,4.8,"39,910",9,"1,554",Front Row CPG,"Patio, Lawn & Garden",Large Standard-Size,FBA,7.60 x 3.54 x 4.21 in,0.2,N/A,"Apr 26, 2023",,No,37,Front Row CPG,plug in fly trap | fruit fly trap
35.,Terro Fruit Fly Traps for Indoors (6 Pack) + 270 Days of Lure Supply,B0BX4GQF68,https://www.amazon.com/dp/B0BX4GQF68?psc=1,https://m.media-amazon.com/images/I/81iUZKBoLNL._AC_SY355_.jpg,,20.26,"46,700","12,771","10,000","666,055.13","214,072.66",68,20,AMZ,9.26,5,4,"24,452",10,314,Amazon,"Patio, Lawn & Garden",Large Standard-Size,AMZ,9.09 x 4.33 x 5.55 in,0.53,N/A,"Mar 19, 2023",,No,38,Amazon,plug in fly trap | fruit fly trap
36.,"STEM Insect Trap - Indoor Fruit Fly & Gnat Pest Control for House, Home and Kitchen, Attracts & Traps Flying Bugs, Soft Blue Light - Includes 1 Plug-in Device & 3 Cartridges",B0F2DR1P47,https://www.amazon.com/dp/B0F2DR1P47?psc=1,https://m.media-amazon.com/images/I/81Z4MdVQmiL._AC_SY355_.jpg,STEM,17.97,"5,003","3,618","1,000","85,676.35","64,970.96",173,"1,428",AMZ,8.11,1,4.6,"1,339",12,"1,157",Amazon,"Patio, Lawn & Garden",Large Standard-Size,AMZ,8.50 x 3.11 x 6.77 in,0.53,N/A,"Jun 12, 2025",,No,11,Amazon,plug in fly trap | fruit fly trap
37.,"Zevo Flying Insect Trap Official Refill Cartridges - Fits Both Zevo Trap & MAX Indoor Fly Trap - Authentic Trap+Lock Technology to Catch Gnats, House & Fruit Flies (6 Official Refill Cartridges)",B0CTQDTF1V,https://www.amazon.com/dp/B0CTQDTF1V?psc=1,https://m.media-amazon.com/images/I/81+nq0FrOeL._AC_SY355_.jpg,,21.97,"187,027","54,012","40,000","3,315,516.41","1,166,300.09",194,2,US,7.98,8,4.8,"39,910",9,"1,317",Front Row CPG,"Patio, Lawn & Garden",Large Standard-Size,FBA,8.19 x 3.54 x 4.57 in,0.25,N/A,"Feb 25, 2024",,No,27,Front Row CPG,plug in fly trap
38.,"VEYOFLY Fruit Fly Traps for Indoors (2 Device + 4 Refills), Gnat Trap Indoor Plug in, Bug Traps, Flying Insect Trap, Gnat Traps for House Indoor, Fly Trap Indoor for Home Bug Light, Gnats Catcher",B0BDT4XZR4,https://www.amazon.com/dp/B0BDT4XZR4?psc=1,https://m.media-amazon.com/images/I/81LY0ZEXgsL._AC_SY355_.jpg,VEYOFLY,26.97,"11,458","5,150","3,000","360,132.3","176,860.43",195,341,US,8.14,1,4.1,"9,768",9,153,VEYOFLY,"Patio, Lawn & Garden",Large Standard-Size,FBA,5.71 x 2.63 x 3.54 in,0.47,N/A,"Sep 10, 2022",,No,44,VEYOFLY,plug in fly trap
39.,"2 Flying Insect Traps & 2 Cartridges - Compatible with Refill - Plug in Fruit Fly Trap for Indoor - Bug Catcher for Gnats, House & Fruit Flies - Use in Any Room (2 Device & 2 Cartridges)",B0CZ68FHZP,https://www.amazon.com/dp/B0CZ68FHZP?psc=1,https://m.media-amazon.com/images/I/71oR0YP7YOL._AC_SY355_.jpg,Husaco,26.99,"1,685","1,293",600,"40,324.2","36,312.11",186,361,US,8.81,1,4.2,"3,344",7,2,HIPPOPOTAMUSTRADING,"Patio, Lawn & Garden",Large Standard-Size,FBA,7.17 x 3.35 x 4.65 in,0.62,N/A,"Apr 27, 2024",,No,25,HIPPOPOTAMUSTRADING,plug in fly trap
40.,"STEM Flying Insect Trap - Indoor Fruit Fly & Gnat Catcher for Home, Kitchen & Any Room, Attracts & Traps Bugs, Soft Blue UV Light - Includes 1 Plug-in Device & 1 Cartridge",B0CKWKHT8X,https://www.amazon.com/dp/B0CKWKHT8X?psc=1,https://m.media-amazon.com/images/I/81RRNAG33BL._AC_SY355_.jpg,STEM,12.59,"2,183","2,183","1,000","28,017.75","28,013.03",171,"2,211",AMZ,7.11,21,4.2,"2,322",11,10,Amazon,"Patio, Lawn & Garden",Large Standard-Size,AMZ,6.34 x 3.54 x 6.30 in,0.64,N/A,"Dec 8, 2023",,No,29,Amazon,plug in fly trap | fruit fly trap
41.,"Flying Insect Trap, Plug-in UV Light for Gnats, Fruit Flies and Houseflies, Silent Sticky Catcher for Indoor Use, 1 Device & 3 Refills",B0DT41C2SZ,https://www.amazon.com/dp/B0DT41C2SZ?psc=1,https://m.media-amazon.com/images/I/71Ie5UhcJSL._AC_SY355_.jpg,Bug Parking,15.29,"2,246","1,208","1,000","37,011.58","18,333.5",134,"4,973",US,6.9,1,4.2,968,9,165,Bug Parking,"Patio, Lawn & Garden",Large Standard-Size,FBA,6.38 x 2.64 x 4.72 in,0.51,N/A,"Apr 8, 2025",,No,13,Bug Parking,plug in fly trap
42.,"VEYOFLY Fruit Fly Traps for Indoors (1 Device + 2 Refills), Gnat Trap Indoor Plug in, Bug Traps, Flying Insect Trap, Gnat Traps for House Indoor, Fly Trap Indoor for Home Bug Light, Gnats Catcher",B0BJ1LXR8B,https://www.amazon.com/dp/B0BJ1LXR8B?psc=1,https://m.media-amazon.com/images/I/71HemolPcLL._AC_SX355_.jpg,VEYOFLY,17.97,"4,604","2,250","1,000","97,026.14","38,501.74",195,"2,995",US,6.79,1,4.1,"6,247",9,63,VEYOFLY,"Patio, Lawn & Garden",Large Standard-Size,FBA,4.76 x 2.40 x 3.62 in,0.33,N/A,"Oct 24, 2022",,No,43,VEYOFLY,plug in fly trap
43.,"Flying Insect Trap Plug in Mosquito Bug Zapper Indoor Gnat Moth Catcher with 9W Night UV Light, 10 Sticky Glue Board Refills for Home Office",B0CS321RXS,https://www.amazon.com/dp/B0CS321RXS?psc=1,https://m.media-amazon.com/images/I/71YDLJ245kL._AC_SY355_.jpg,BURLAN,28.49,"2,961",589,N/A,"110,406.41","15,730.86",140,"2,562",US,9.02,2,4.1,429,8,N/A,Homiewell,"Patio, Lawn & Garden",Large Standard-Size,FBA,10.16 x 3.23 x 3.90 in,0.75,N/A,"Feb 26, 2024",,No,27,Homiewell,plug in fly trap
44.,"Fly Trap Indoor Plug in – Electric Bug Zapper with Six Light - Silent, Pet Safe & Mess-Free Flying Insect Traps - Gnat Catcher & Fruit Fly Killer for House Home Kitchen Bedroom (1 Device + 1 Refill)",B0GY47HQLS,https://www.amazon.com/dp/B0GY47HQLS?psc=1,https://m.media-amazon.com/images/I/61lhhllfrxL._AC_SY355_.jpg,Altaz,9.99,406,139,50,"5,115.43","1,587.75",198,"7,085",US,4.74,1,4.3,130,7,3,Altaz Store,"Patio, Lawn & Garden",Large Standard-Size,FBA,6.50 x 2.52 x 4.02 in,0.31,N/A,"Apr 23, 2026",,No,1,Altaz Store,plug in fly trap
45.,"20 Pack Trap Refill Compatible with Saferr Home Fly Trap Refill, Applicable to SH502、SH503、23005-06 and DT3005W、DT3005W-DS3, Indoor Fly Trap Plug-in Insect Trap Replacement (20)",B0CXPR183Q,https://www.amazon.com/dp/B0CXPR183Q?psc=1,https://m.media-amazon.com/images/I/71oN7tf6o1L._AC_SY355_.jpg,Raindot,6.79,"1,391","1,391",800,"10,713.53","10,699.5",177,"6,761",US,3.74,1,4.7,"1,819",7,14,Long & Wen,"Patio, Lawn & Garden",Small Standard-Size,FBA,7.80 x 0.75 x 3.23 in,0.4,N/A,"Apr 11, 2024",,No,25,Long & Wen,plug in fly trap
46.,"Dynatrap DT3007 Indoor Plug-in Fly Trap for Flies, Fruit Flies, Moths, Gnats, and Other Flying Insects - 1 Black Device + 2 Glue Cards",B0CQ8VLMV3,https://www.amazon.com/dp/B0CQ8VLMV3?psc=1,https://m.media-amazon.com/images/I/71vGxA08tdL._AC_SY355_.jpg,DynaTrap,18.49,"1,369",544,300,"17,046.94","5,915.92",134,"5,519",AMZ,4.34,3,4.5,860,11,227,Amazon,"Patio, Lawn & Garden",Large Standard-Size,AMZ,7.24 x 2.32 x 4.33 in,0.4,N/A,"Feb 12, 2024",,No,27,Amazon,plug in fly trap | fruit fly trap
