Product Details,ASIN,Pack Size,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
"Super Ninja Plant Fly Traps – 30 Pieces, Eco Adhesive Baits, Catch Soil Fly in the Home, Insecticide Free, Safe for Indoor/Outdoor Use, Duration 3 Months",B0B9H1JJ83,,Sticky,https://www.amazon.it/dp/B0B9H1JJ83?psc=1,https://m.media-amazon.com/images/I/91GEl1y+vLL._AC_SY355_.jpg,Super Ninja,6.79,"2,560","1,581",700,"19,446.48","12,554.78",153,24,NL,3.33,1,4,"10,483",8,384,Super Ninja ECO,Garden,Standard Envelope,FBA,12.80 x 2.40 x 7.40 cm,0.07,N/A,"Oct 6, 2022",,No,41,Super Ninja ECO
"Super Ninja Plant Fly Traps - 10 Pieces, Eco Adhesive Baits, Catch Soil Fly in the House, No Insecticides, Safe for Indoor/Outdoor Use, Duration 3 Months",B091TY9XDZ,,Sticky,https://www.amazon.it/dp/B091TY9XDZ?psc=1,https://m.media-amazon.com/images/I/81tova0L0uL._AC_SY355_.jpg,Super Ninja,5.99,"2,560",819,300,"19,446.48","4,897.66",153,24,NL,3.57,1,4,"10,483",8,452,Super Ninja ECO,Garden,Standard Envelope,FBA,14.70 x 1.40 x 7.40 cm,0.06,N/A,"Dec 23, 2021",,No,51,Super Ninja ECO
"VEYOFLY Flying Insect Trap, Insect Catch, Indoor Fly Trap, Safe Home, Fly Traps, Moth Traps, Mosquitoes, Anti-Zink Light Insecticide Plug (2 Devices + 6 Adhesive Cards)",B0BDT4XZR4,,Eelctric,https://www.amazon.it/dp/B0BDT4XZR4?psc=1,https://m.media-amazon.com/images/I/61-olCURIsL._AC_SX355_.jpg,VEYOFLY,31.97,118,82,50,"3,535.08","2,625.29",168,"1,030",US,10.33,1,4.1,"9,063",9,97,VEYOFLY IT,Garden,Small Parcel,FBA,14.10 x 7.40 x 11.10 cm,0.27,N/A,"Jun 6, 2024",,No,21,VEYOFLY IT
"50 Pieces Cherry Fly Traps, Olive Fly Trap Yellow Sticky Bilateral Fly Traps for Flying Insects for Olives, Aphids, Funguses, Leafminers and White Flies",B07PMM3PRJ,,Sticky,https://www.amazon.it/dp/B07PMM3PRJ?psc=1,https://m.media-amazon.com/images/I/71hUJ0klDiL._AC_SY355_.jpg,Panngu,16.97,218,173,50,"3,042.10","2,600.41",152,481,CN,4.71,1,4.2,"5,476",7,28,PANNGU - IT,Garden,Large Envelope,FBA,20.60 x 3.10 x 15.80 cm,0.56,N/A,"Mar 30, 2019",,No,84,PANNGU - IT
"Super Ninja Trappola Moscerini Frutta per Interni - 4 Pezzi, trappola per moscerini della frutta efficace per casa e cucina, attiva fino a 3 settimane, adatta a bambini e animali domestici",B09SLX6GQS,,Lure,https://www.amazon.it/dp/B09SLX6GQS?psc=1,https://m.media-amazon.com/images/I/91lm7PdkaPL._SX450_.jpg,,16.99,159,152,N/A,"2,769.94","2,583.87",188,357,N/A,6.49,1,N/A,N/A,8,154,,,Large Envelope,FBA,12.70 x 3.40 x 7.40 cm,0.12,N/A,"Jul 18, 2022",,No,44,
"50 Pcs Sticky Cherry Traps, Olive Flies Insect Trap for White Fly, Olive Fruit Fly, Aphids, Leaf Miners, Buzzers (15 cm x 20 cm)",B085PSQR62,,Sticky,https://www.amazon.it/dp/B085PSQR62?psc=1,https://m.media-amazon.com/images/I/61VGthZ9JpL._AC_SY355_.jpg,Panngu,17.97,176,109,50,"2,996.43","1,800.91",128,519,CN,4.79,1,4.2,"1,811",7,14,PANNGU - IT,Garden,Large Envelope,FBA,20.40 x 2.00 x 15.40 cm,0.56,N/A,"Mar 18, 2020",,No,72,PANNGU - IT
"Super Ninja Plant Fly Traps – 60 Pieces, Eco Adhesive Baits, Catch Soil Fly in the Home, Insecticide Free, Safe for Indoor/Outdoor Use, Duration 3 Months",B0D7MDHWT9,,Sticky,https://www.amazon.it/dp/B0D7MDHWT9?psc=1,https://m.media-amazon.com/images/I/91zDvw-8CTL._AC_SY355_.jpg,Super Ninja,10.19,"2,560",140,50,"19,446.48","1,671.98",153,24,N/A,3.63,1,4,"10,483",8,382,Super Ninja ECO,Garden,Standard Envelope,FBA,12.90 x 2.40 x 11.10 cm,0.15,N/A,"Feb 5, 2025",,No,13,Super Ninja ECO
"Super Ninja Trappola Moscerini Frutta per Interni - 2 Pezzi, trappola per moscerini della frutta efficace per casa e cucina, attiva fino a 3 settimane, adatta a bambini e animali domestici",B0DWYWN4KK,,Lure,https://www.amazon.it/dp/B0DWYWN4KK?psc=1,https://m.media-amazon.com/images/I/81LtUlaPb5L._SX450_.jpg,,10.99,149,133,N/A,"1,816.81","1,458.31",188,"1,198",N/A,5,1,N/A,N/A,8,27,,,Large Envelope,FBA,12.60 x 3.40 x 7.30 cm,0.07,N/A,"Apr 5, 2025",,No,11,
Folding Electric Mosquito Racket 4000 V 1800 mAh 3 in 1 USB Rechargeable Electric Fly Swatter Palette and LED Light Suitable for Indoor and Outdoor Use,B0DCNXYYNB,,Electric,https://www.amazon.it/dp/B0DCNXYYNB?psc=1,https://m.media-amazon.com/images/I/81mBmJTRzPL._AC_SY355_.jpg,WOCVRYY,13.71,156,93,50,"2,373.20","1,413.19",151,554,GB,4.79,2,4.5,"1,753",9,31,AWI CAPIUIAL LIMITED s,Garden,Extra Large Envelope,FBA,26.90 x 5.10 x 22.90 cm,0.44,N/A,"Aug 9, 2024",,No,19,AWI CAPIUIAL LIMITED s
"Blooven Pack of 30 Fly Plants Indoor Yellow Stickers Against Aphids, Thrips and White Flies, Pests – House Trap",B09PV8Z575,,Sticky,https://www.amazon.it/dp/B09PV8Z575?psc=1,https://m.media-amazon.com/images/I/61u-oT71hPL._AC_SY355_.jpg,Blooven,7.59,269,177,N/A,"2,296.39","1,410.87",111,826,CN,N/A,1,4.2,"21,503",6,463,Blooven,Garden,Standard Envelope,FBA,14.10 x 1.40 x 13.00 cm,0.1,N/A,"Mar 20, 2022",,No,48,Blooven
"2 Pack Indoor Fly Traps (2 Devices + 10 Glue Cards) Night Lamp Mosquito Killer Fly Trap Plug-in Fly Trap for Mosquitoes, Flies, Fruit Flies Moth",B0D9JNDGZT,,Electric,https://www.amazon.it/dp/B0D9JNDGZT?psc=1,https://m.media-amazon.com/images/I/71-bT-Jti9L._AC_SY355_.jpg,pancellent,13.28,121,82,N/A,"1,781.36","1,325.96",144,"1,020",N/A,6.49,1,4,302,7,N/A,Joey Up,Garden,Small Parcel,FBA,13.30 x 7.10 x 8.20 cm,0.22,N/A,"Oct 25, 2024",,No,17,Joey Up
"Fly Trap Fly Trap (36 Pieces), Yellow Adhesive Fly Trap for Flying Insects Against Pests, Aphids, Fruit Flies Yellow, Flower Category",B0DNQF33MR,,Sticky,https://www.amazon.it/dp/B0DNQF33MR?psc=1,https://m.media-amazon.com/images/I/61Y-mm1xbXL._AC_SY355_.jpg,peiqiup,6.49,425,184,50,"2,486.13","1,192.13",133,349,N/A,2.78,2,4.3,292,7,51,SIAWILDWINS,Garden,Standard Envelope,FBA,17.00 x 1.70 x 14.20 cm,0.13,N/A,"Jan 23, 2025",,No,14,SIAWILDWINS
"PIC Fly Trap – 60 x Fly Trap at Home, Bed Bug Catcher Effective Against Plant Gnats, Double Sided Yellow Fly Paper Against Sciaridi – Works Up to 6 Months",B0BD9759HW,,Sticky,https://www.amazon.it/dp/B0BD9759HW?psc=1,https://m.media-amazon.com/images/I/812TnXa-ARL._AC_SY355_.jpg,PIC,9.99,147,110,50,"1,469.65","1,095.70",154,574,DE,4.59,1,4.3,"4,624",8,69,UE-SHOP,Garden,Standard Envelope,FBA,19.50 x 2.00 x 12.10 cm,0.18,N/A,"Jan 24, 2023",,No,38,UE-SHOP
"VEYOFLY Fruit Fly Traps for Indoors, Fly Trap Indoor, (1 Device + 3 Refills) Fly Catcher Indoor, Gnat Traps for House Indoor, Fly Trap, Safer Plug in Light Flying Insect Trap, Bug Killer",B0BJ1FLRJ5,,Electric,https://www.amazon.it/dp/B0BJ1FLRJ5?psc=1,https://m.media-amazon.com/images/I/61-woeI30zL._AC_SX355_.jpg,VEYOFLY,24.97,77,42,N/A,"2,070.18","1,058.06",186,"1,390",N/A,8.61,1,4,"3,076",9,N/A,VEYOFLY IT,Garden,Small Parcel,FBA,22.50 x 8.90 x 10.80 cm,0.31,N/A,"Aug 27, 2024",,No,19,VEYOFLY IT
"Fly Trap Fly Trap (12 Pcs), Yellow Adhesive Fly Trap for Flying Insects Against Pests, Aphids, Fruit Flies, Yellow, Butterfly+Succulent",B0DNQFSLKV,,Sticky,https://www.amazon.it/dp/B0DNQFSLKV?psc=1,https://m.media-amazon.com/images/I/61kq-8rcyhL._AC_SY355_.jpg,peiqiup,4.99,425,211,100,"2,486.13","1,050.78",135,349,N/A,3.4,1,4.3,292,7,51,SIAWILDWINS,Garden,Small Envelope,FBA,12.70 x 1.00 x 8.30 cm,0.03,N/A,"Jan 30, 2025",,No,14,SIAWILDWINS
