segment,brand,asin,rating,title,review,date
Lure,Terro,B0BX4GQF68,2,Maybe works for others but didn't work for me,I'm sure they works for someone but not for me. Not one single FF entered.,2026-01-22
Lure,Terro,B0BX4GQF68,2,Not right product for fruit flies,its not working effectively.,2026-01-06
Lure,Terro,B0BX4GQF68,2,Product does not last as long as they said it would.,I would not purchase this product again. It was not very effective. It drew fruit flies to the little red apples but the liquid you put in them dried up very quickly. Did not last as long as it said it would. Could not return them for a refund as I did not keep the box they came in. I believed the product was going to work. It took time to realize the product would not work as long as they said it would.,2025-08-22
Lure,Terro,B0BX4GQF68,2,Make your own,"I got tired of making my own traps with paper cones at the top and apple cider vinegar/dish soap. So I ordered these, for ease. They are easy to set up but the flies just go in and out. Only a few end up getting trapped in the liquid. My homemade traps worked much better.",2025-08-25
Lure,Terro,B0BX4GQF68,2,Doesn't work the best.,"Does not work the best only a few gnats go in, otherwise they sit on the lid.",2025-10-23
Lure,Terro,B0BX4GQF68,2,Didn't work,"I had some forgotten bananas hidden on a shelf and got some fruit flies. I've used them many years back and they were great. This time, they didn't work at all.",2025-10-05
Lure,Terro,B0BX4GQF68,2,Trap didnt work nor last long,Either wrong fly but it didn't work and one only lasted a week,2025-10-08
Lure,Terro,B0BX4GQF68,2,DIdn't work well,"I have been using the sticky pads that plug in a wall socket and shine a blue light. They usually get filled quickly. I saw these and thought I'd give them a try since they cost less, don't use a wall socket, and had great reviews. I put one near my counter top small compost bin and one near the bananas. I placed 2 others near where I have seen the gnats or fruit flies. The only one that caught anything was the one near the bananas. The others have no more than one dead fruit fly and one has none. So, not buying these again. I'll stick with the sticky pads with the blue light.",2024-12-07
Lure,Terro,B0BX4GQF68,2,MEH - Home DIYs are better,"I am so Disappointed. We have some sort of infestation of gnats, drain flies or fruit flies. I put out jars w vinegar and dish soap and while they were helping, didn't eliminate the problem. Set the Terro traps and only caught a few, whereas my DIY traps caught significantly more. I just ordered a different kind of trap to hopefully end the problem. Bottom line, save your money and skip this item.",2024-11-14
Lure,Terro,B0BX4GQF68,2,Three pack. Not six pack.,"Ordered the 6 pack, ended up only getting a 3 pack.",2025-08-06
Lure,Terro,B0BX4GQF68,1,Liquid Lure does not attract fruit flies - worthless,"The cute little red plastic apples are a great design. It’s too bad they are paired with lure which does not work. I’ve placed four of the six apples in areas of breeding and concentration. One on the table with plants, one right in front of me on my desk where I work, one by the kitchen sink, and one on the kitchen island next to another plant. They have been out for a couple weeks now. And not a single fruit fly can be seen inside any of the traps! In fact, I’ve already killed two flying round me this morning with the apple trap less than two feet away. Yesterday I found one fruit fly crawling around the window sill in the kitchen mere inches away from the trap. It never did go in the trap! I don’t know if the lure expires or not. It does have a faint vinegary smell. But as these were sold to me, they are absolutely worthless!",2026-01-28
Lure,Terro,B0BX4GQF68,1,Save your money,"Totally garbage item and waste of money. I might as well of just reached In the cupboard and poured apple cider vinegar in a cup. House is totally full of fruit flies and after days this thing has trapped one. Will never buy again, I’ll stick to using zevo spray instead that actually kills on contact. I have it one star for the cute little apple.",2026-02-07
Lure,Terro,B0BX4GQF68,1,Updated Review,The squirt bottle insert worked a lot better than the plastic slider insert. Maybe it was more potent in the squirt bottle insert but its been out for over a day and not a single fly but before I would have multiple flies dead,2026-02-14
Lure,Terro,B0BX4GQF68,1,"So far, nothing.","My oldest son suggested I try these because they worked for him when a condo neighbor left their trash out overnight for early morning concierge pick up. I live up in the mountains on a farm with fruit trees, cattle & lots of land used for gardening. Sometimes when you open the door, you think they must have been lined up just waiting to enter the RV. Annoying little creatures they are. I ordered one set of these, but somehow I must have ordered another since I have two and have tried to cancel one before they got here but it didn't take. I'll keep the one 6 pack, but sending the other back, and not going to keep the subscription unless they start working, at that point I will update. For now, the gnats will fly around it, land on it, but not go in it.",2025-07-31
Lure,Terro,B0BX4GQF68,1,not 270 days of lure supply only 90 days,it says 270 days of lure supply but on the box that came it says 90 days of lure supply and theres only 3 little bottles and you fill each one of the holders up with 1/2 the bottle. 270 days of supply is a total lie,2025-12-28
Lure,Terro,B0BX4GQF68,1,Don’t just don’t,"This product didn’t work… can easily spill out the liquid and cause stickiness… dont get it, probably call a Plummer cuz if you have allot of fruit flies out of the blue you might have mold and larva….",2025-12-21
Lure,Terro,B0BX4GQF68,1,Don't last 45 days - waste of money,"Bought the 6 pack Claims each trap lasts 45 days, so a total of 270 days of coverage if you only use 1 trap at a time. My traps were delivered and set up August 1st and, as of writing this, all liquid in the traps has evaporated. 18 days is all I got out of them and that is likely a stretch as I hadn't checked them in a week or so. The traps do look better than just leaving out little cups of apple cider vinegar but perform horribly. Don't waste your money unless you just want nicer looking traps that you can fill with your own ACV mixture.",2025-08-18
Lure,Terro,B0BX4GQF68,1,Worthless!,Apparently we have smarter fruit flies in Louisiana because it’s been days not and I am still breathing fruit flies! SAVE YOUR MONEY!,2026-01-24
Lure,Terro,B0BX4GQF68,1,Fruit Flies Loved It—Invited All Their Friends,"Bought this expecting a solution to my fruit fly problem. Instead, I’ve accidentally launched the hottest vacation destination for flies on the planet. These traps? Oh, they attract fruit flies alright… not to kill them, but to pamper them. I’m pretty sure they come for the lure and stay for the vibes. I’ve got fruit flies sipping fermented apple juice, hooking up, raising families, and probably opening a gift shop near my sink. I swear one of them made eye contact and winked at me. It’s been a week. They’re multiplying. I’m not even sure I live here anymore—I’m just staff now. Would not recommend unless you're trying to open a 5-star fly resort with 270 days of all-inclusive buffet access.",2025-07-08
