Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  £,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  £,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
47.,"Nizoral Anti-Dandruff Treatment Shampoo, Treats and Prevents Dandruff, Clinically Proven to Control Itchy & Flaky Scalps, Contains Ketoconazole, 1 x 100ml",B0DQV8G9HR,Irritated / Atopic,https://www.amazon.co.uk/dp/B0DQV8G9HR?psc=1,https://m.media-amazon.com/images/I/71a7CQJ4ZmL._AC_SY355_.jpg,Nizoral,8.12,"24,857","24,857","20,000","242,102.96","242,102.93",154,35,AMZ,4.22,7,4.6,"1,445",9,149,Amazon,Beauty,Extra Large Envelope,AMZ,15.00 x 4.20 x 6.90 cm,0.1,N/A,"Dec 18, 2024",,No,18,Amazon
49.,"Nizoral Anti-Dandruff Treatment Shampoo, Treats and Prevents Dandruff, Clinically Proven to Control Itchy & Flaky Scalps, Contains Ketoconazole, 1 x 60ml",B001ETUD5I,Irritated / Atopic,https://www.amazon.co.uk/dp/B001ETUD5I?psc=1,https://m.media-amazon.com/images/I/71qKCWaWJGL._AC_SY355_.jpg,Nizoral,5.82,"22,754","22,769","10,000","150,269.81","150,375.91",153,"1,238",AMZ,2.94,18,4.6,"31,572",9,72,Amazon,Beauty,Large Envelope,AMZ,14.10 x 2.90 x 5.70 cm,0.09,N/A,"Aug 25, 2008",,No,214,Amazon
14.,"Polytar Scalp Shampoo, For Scalp Conditions, Reduces Itching, Inflammation and Scales, Shampoo Treats Psoriasis, Seborrhoeic Dermatitis, Eczema and Dandruff, Contains Coal Tar Solution, 1 x 150ml",B07NPW27GG,Irritated / Atopic,https://www.amazon.co.uk/dp/B07NPW27GG?psc=1,https://m.media-amazon.com/images/I/51mDg3JzvTL._AC_SY355_.jpg,Polytar,7.49,"11,890","11,890","8,000","125,993.18","125,993.16",195,222,AMZ,3.18,10,4.5,"5,458",7,40,Amazon,Beauty,Large Envelope,AMZ,16.40 x 3.40 x 7.60 cm,0.19,N/A,"Apr 5, 2019",,No,86,Amazon
43.,"Neutrogena T/Gel Scalp Relief Anti-Dandruff Shampoo (250ml) With 3% Salicylic Acid, Suitable for Those Prone to Scalp Psoriasis and Seborrhoeic Dermatitis, Packaging may vary",B0DSGCJSZF,Irritated / Atopic,https://www.amazon.co.uk/dp/B0DSGCJSZF?psc=1,https://m.media-amazon.com/images/I/61n55bAXRZL._AC_SY355_.jpg,Neutrogena,5.62,"13,718","13,718","10,000","104,974.99","104,975.02",174,136,AMZ,3.06,10,4.5,"1,900",6,134,Amazon,Beauty,Large Envelope,AMZ,17.90 x 3.70 x 7.00 cm,0.31,N/A,"Dec 1, 2024",,No,18,Amazon
65.,"Redken Amino Mint Scalp Relief Shampoo For Oily Scalps, Purifying Cleanser Formulated With Amino Acids To Soothe The Scalp And Nourish Dry Lengths, 300ml",B09LYWXD3Q,Irritated / Atopic,https://www.amazon.co.uk/dp/B09LYWXD3Q?psc=1,https://m.media-amazon.com/images/I/5187r+3XKML._AC_SX342_.jpg,Redken,13.65,"4,544","4,544","2,000","86,344.89","86,344.89",153,"1,537",AMZ,5.82,12,4.4,"2,716",6,50,Amazon,Beauty,Extra Large Envelope,AMZ,17.40 x 5.60 x 7.10 cm,0.35,N/A,"Jan 14, 2022",,No,53,Amazon
64.,"Aveeno Scalp Soothing Haircare Clarify & Shine Shampoo, Apple Cider Vinegar Blend, for All Hair Types, Soothes Dry, Itchy & Flaky Scalp, Clinically Proven, Sulfate Free, 300ml",B0BQTMHNW9,Irritated / Atopic,https://www.amazon.co.uk/dp/B0BQTMHNW9?psc=1,https://m.media-amazon.com/images/I/61Zo4uoLF8L._AC_SY355_.jpg,Aveeno,3.98,"14,477","14,477","10,000","79,043.26","79,043.26",175,106,AMZ,2.9,9,4.5,"3,643",9,34,Amazon,Beauty,Extra Large Envelope,AMZ,17.40 x 4.10 x 8.40 cm,0.34,N/A,"Feb 1, 2023",,No,40,Amazon
79.,"Vichy Dercos Technique Anti-Dandruff Purifying Shampoo, With 1% Salicylic Acid & Selenium Disulfide, For Sensitive Oily Hair & Scalp, Removes Visible Flakes, 390ml",B00WN2BY7G,Irritated / Atopic,https://www.amazon.co.uk/dp/B00WN2BY7G?psc=1,https://m.media-amazon.com/images/I/51gUbb5fuiL._AC_SX342_.jpg,VICHY,16.79,"4,244","4,244","4,000","67,672.85","67,672.87",163,809,AMZ,5.5,1,4.7,"11,271",11,242,Amazon,Beauty,Extra Large Envelope,AMZ,20.20 x 5.90 x 5.90 cm,0.45,N/A,"Apr 24, 2015",,No,134,Amazon
21.,"Folliculitis & Seborrheic Dermatitis Shampoo – Anti-Dandruff, Psoriasis & Itchy Scalp Treatment – Soothes Redness, Flaking & Irritation",B0FGGTST5H,Irritated / Atopic,https://www.amazon.co.uk/dp/B0FGGTST5H?psc=1,https://m.media-amazon.com/images/I/71IqBcDgPuL._AC_SY355_.jpg,PHARMBANNER,17.41,"3,940","3,033","2,000","85,713.66","66,029.45",135,"1,071",US,6.28,2,4.4,"1,524",8,42,PHARMBANNER Store,Beauty,Extra Large Envelope,FBA,17.70 x 5.50 x 5.60 cm,0.31,N/A,"Jul 2, 2025",,No,11,PHARMBANNER Store
8.,"E45 Dry Scalp Shampoo for Very Dry, Itchy and Flaky Scalp - Anti Dandruff Shampoo with hydrating Vitamin B5 – Free from fragrance, soap and perfume 200ml",B001RYUCQU,Irritated / Atopic,https://www.amazon.co.uk/dp/B001RYUCQU?psc=1,https://m.media-amazon.com/images/I/51HBv-3f1lL._AC_SY355_.jpg,E45,4.16,"8,561","8,561","7,000","49,943.42","49,943.42",153,289,AMZ,2.86,4,4.5,"6,808",6,42,Amazon,Beauty,Large Envelope,AMZ,15.50 x 3.30 x 6.40 cm,0.23,N/A,"Aug 21, 2008",,No,214,Amazon
28.,"Neutrogena T/Gel Scalp Relief Anti-Dandruff Shampoo (150ml) With 3% Salicylic Acid, Suitable for Those Prone to Scalp Psoriasis and Seborrhoeic Dermatitis",B0DW3XJTVJ,Irritated / Atopic,https://www.amazon.co.uk/dp/B0DW3XJTVJ?psc=1,https://m.media-amazon.com/images/I/61LO4LbU84L._AC_SY355_.jpg,Neutrogena,4.68,"6,863","6,863","5,000","41,180.23","41,180.23",154,71,AMZ,2.94,13,4.5,821,6,66,Amazon,Baby Products,Large Envelope,AMZ,16.00 x 3.40 x 5.60 cm,0.2,N/A,"Nov 25, 2024",,No,19,Amazon
